Tienda,Orders,Registrados,Tickets Válidos,Recompras,Conversion (%),Tasa Recompras (%),Verificados,% Verificados,FechaBase
1001 AP GUADALAJARA,19,8,11,8,72.73,50.00,5,62.50,2026-05-03
1002 AP PUERTO VALLARTA LOCAL,3,2,2,1,100.00,33.33,2,100.00,2026-05-03
1003 AP PUERTO VALLARTA ESCALA,2,1,1,1,100.00,50.00,1,100.00,2026-05-03
1004 AP MERIDA,3,2,3,0,66.67,0.00,2,100.00,2026-05-03
1010 AP CDMX BJ T2,6,2,5,1,40.00,33.33,2,100.00,2026-05-03
1015 CC GUADALAJARA PLAZA ANDARES,7,1,2,5,50.00,83.33,1,100.00,2026-05-03
1017 CC MORELIA AMERICAS,30,10,14,16,71.43,61.54,10,100.00,2026-05-03
1018 CC MERIDA ALTABRISA,9,3,3,6,100.00,66.67,3,100.00,2026-05-03
1020 AP GUADALAJARA ISLA,10,5,9,1,55.56,16.67,5,100.00,2026-05-03
1021 CC PUEBLA ANGELOPOLIS,11,6,10,1,60.00,14.29,5,83.33,2026-05-03
1023 CC SAN LUIS POTOSÍ,9,6,6,3,100.00,33.33,1,16.67,2026-05-03
1024 CC VILLAHERMOSA ALTABRISA,5,5,5,0,100.00,0.00,5,100.00,2026-05-03
1025 CC MERIDA GALERIAS,7,2,4,3,50.00,60.00,2,100.00,2026-05-03
1026 AP VILLAHERMOSA,7,4,5,2,80.00,33.33,4,100.00,2026-05-03
1030 AP CULIACÁN,3,2,2,1,100.00,33.33,1,50.00,2026-05-03
1031 CC CDMX FORUM BUENAVISTA,12,8,8,4,100.00,33.33,7,87.50,2026-05-03
1032 CC CAMPECHE GALERIAS,3,1,1,2,100.00,66.67,0,0.00,2026-05-03
1034 CC QUERETARO PLAZA ANTEA,2,1,1,1,100.00,50.00,1,100.00,2026-05-03
1036 CC CULIACÁN PLAZA FORUM,7,5,5,2,100.00,28.57,5,100.00,2026-05-03
1037 AP CANCÚN SALA AIRE,12,6,10,2,60.00,25.00,6,100.00,2026-05-03
1038 AP LOS CABOS,8,3,8,0,37.50,0.00,3,100.00,2026-05-03
1042 CC GUADALAJARA GALERIAS,10,5,6,4,83.33,44.44,1,20.00,2026-05-03
1044 CC MERIDA LA ISLA,8,3,4,4,75.00,57.14,3,100.00,2026-05-03
1045 CC TUXTLA FASHION MALL,5,2,2,3,100.00,60.00,2,100.00,2026-05-03
1046 CC CABOS PUERTO PARAISO,19,11,13,6,84.62,35.29,11,100.00,2026-05-03
1047 CC GUADALAJARA PLAZA PATRIA,10,3,3,7,100.00,70.00,3,100.00,2026-05-03
1048 AP DEL BAJIO,4,0,2,2,0.00,100.00,0,0.00,2026-05-03
1049 CC GUADALAJARA LA PERLA,11,6,9,2,66.67,25.00,6,100.00,2026-05-03
1052 CC CDMX LAS ANTENAS,9,6,7,2,85.71,25.00,6,100.00,2026-05-03
1053 CC VERACRUZ ANDAMAR,5,3,3,2,100.00,40.00,3,100.00,2026-05-03
1054 CC CDMX PARQUE LINDAVISTA,6,4,4,2,100.00,33.33,4,100.00,2026-05-03
1055 CC CDMX PARQUE VIA VALLEJO,3,2,2,1,100.00,33.33,2,100.00,2026-05-03
1058 AP TIJUANA AMBULATORIO,9,3,4,5,75.00,62.50,1,33.33,2026-05-03
1064 CC CDMX SATÉLITE,14,10,12,2,83.33,16.67,9,90.00,2026-05-03
1065 CC CDMX PARQUE TEPEYAC,9,4,5,4,80.00,50.00,3,75.00,2026-05-03
1066 CC CANCUN AMERICAS,14,8,9,5,88.89,38.46,8,100.00,2026-05-03
1067 AP AERO DF AMBULATORIO T1,4,2,4,0,50.00,0.00,2,100.00,2026-05-03
1068 AP AERO MERIDA AMBULATORIO,2,2,2,0,100.00,0.00,2,100.00,2026-05-03
1069 AP TIJUANA ISLA,6,2,6,0,33.33,0.00,2,100.00,2026-05-03
2001 TC GUADALAJARA CAÑADAS,6,3,4,2,75.00,40.00,3,100.00,2026-05-03
2008 CC CDMX PUNTA NORTE,56,3,51,5,5.88,62.50,3,100.00,2026-05-03
2009 CC CANCÚN PASEOS,22,11,14,8,78.57,42.11,11,100.00,2026-05-03
2011 TC GUADALAJARA TESISTÁN,6,2,3,3,66.67,60.00,2,100.00,2026-05-03
2012 CC LERMA PLAZAS OUTLET,53,10,48,5,20.83,33.33,10,100.00,2026-05-03
2014 CC CUERNAVACA FORUM,35,14,23,12,60.87,46.15,12,85.71,2026-05-03
2015 EXPLANADA PACHUCA,29,14,20,9,70.00,39.13,14,100.00,2026-05-03
2016 CC QUERETARO PREMIUM OUTLETS,22,8,14,8,57.14,50.00,8,100.00,2026-05-03
2018 CC EXPLANADA CULIACAN,22,12,15,7,80.00,36.84,11,91.67,2026-05-03
2021 CC CDMX PORTAL CENTRO,20,6,11,9,54.55,60.00,6,100.00,2026-05-03
2022 CC LEON NUEVO MULZA,54,23,43,11,53.49,32.35,21,91.30,2026-05-03
2023 CC OUTLET RIVIERA MAYA,49,12,42,7,28.57,36.84,12,100.00,2026-05-03
2024 CC OUTLET LEON,24,13,19,5,68.42,27.78,13,100.00,2026-05-03
2050 TC GUADALAJARA MFS VALLARTA,14,4,12,2,33.33,33.33,4,100.00,2026-05-03
