Tienda,Orders,Registrados,Tickets Válidos,Recompras,Conversion (%),Tasa Recompras (%),Verificados,% Verificados,FechaBase
1001 AP GUADALAJARA,27,12,22,5,54.55,29.41,4,33.33,2026-05-08
1002 AP PUERTO VALLARTA LOCAL,6,4,5,1,80.00,20.00,2,50.00,2026-05-08
1003 AP PUERTO VALLARTA ESCALA,7,4,6,1,66.67,20.00,3,75.00,2026-05-08
1004 AP MERIDA,13,5,11,2,45.45,28.57,3,60.00,2026-05-08
1010 AP CDMX BJ T2,25,9,21,4,42.86,30.77,8,88.89,2026-05-08
1015 CC GUADALAJARA PLAZA ANDARES,11,6,8,3,75.00,33.33,6,100.00,2026-05-08
1017 CC MORELIA AMERICAS,45,27,30,15,90.00,35.71,25,92.59,2026-05-08
1018 CC MERIDA ALTABRISA,28,14,16,12,87.50,46.15,13,92.86,2026-05-08
1020 AP GUADALAJARA ISLA,16,8,11,5,72.73,38.46,5,62.50,2026-05-08
1021 CC PUEBLA ANGELOPOLIS,20,13,14,6,92.86,31.58,10,76.92,2026-05-08
1023 CC SAN LUIS POTOSÍ,15,13,13,2,100.00,13.33,5,38.46,2026-05-08
1024 CC VILLAHERMOSA ALTABRISA,18,8,11,7,72.73,46.67,8,100.00,2026-05-08
1025 CC MERIDA GALERIAS,26,12,16,10,75.00,45.45,11,91.67,2026-05-08
1026 AP VILLAHERMOSA,7,5,6,1,83.33,16.67,5,100.00,2026-05-08
1030 AP CULIACÁN,14,6,8,6,75.00,50.00,2,33.33,2026-05-08
1031 CC CDMX FORUM BUENAVISTA,25,15,18,7,83.33,31.82,15,100.00,2026-05-08
1032 CC CAMPECHE GALERIAS,9,7,7,2,100.00,22.22,5,71.43,2026-05-08
1034 CC QUERETARO PLAZA ANTEA,8,3,5,3,60.00,50.00,3,100.00,2026-05-08
1036 CC CULIACÁN PLAZA FORUM,31,18,19,12,94.74,40.00,18,100.00,2026-05-08
1037 AP CANCÚN SALA AIRE,23,3,21,2,14.29,40.00,2,66.67,2026-05-08
1038 AP LOS CABOS,22,9,19,3,47.37,25.00,9,100.00,2026-05-08
1042 CC GUADALAJARA GALERIAS,13,5,7,6,71.43,54.55,2,40.00,2026-05-08
1044 CC MERIDA LA ISLA,15,9,10,5,90.00,35.71,9,100.00,2026-05-08
1045 CC TUXTLA FASHION MALL,12,5,5,7,100.00,58.33,2,40.00,2026-05-08
1046 CC CABOS PUERTO PARAISO,66,22,32,34,68.75,60.71,20,90.91,2026-05-08
1047 CC GUADALAJARA PLAZA PATRIA,15,12,12,3,100.00,20.00,12,100.00,2026-05-08
1048 AP DEL BAJIO,10,1,7,3,14.29,75.00,1,100.00,2026-05-08
1049 CC GUADALAJARA LA PERLA,18,7,9,9,77.78,56.25,5,71.43,2026-05-08
1052 CC CDMX LAS ANTENAS,16,8,12,4,66.67,33.33,7,87.50,2026-05-08
1053 CC VERACRUZ ANDAMAR,7,5,6,1,83.33,16.67,5,100.00,2026-05-08
1054 CC CDMX PARQUE LINDAVISTA,16,12,12,4,100.00,25.00,12,100.00,2026-05-08
1055 CC CDMX PARQUE VIA VALLEJO,16,9,11,5,81.82,35.71,8,88.89,2026-05-08
1058 AP TIJUANA AMBULATORIO,6,4,5,1,80.00,20.00,3,75.00,2026-05-08
1064 CC CDMX SATÉLITE,29,11,11,18,100.00,62.07,11,100.00,2026-05-08
1065 CC CDMX PARQUE TEPEYAC,25,12,18,7,66.67,36.84,10,83.33,2026-05-08
1066 CC CANCUN AMERICAS,15,9,11,4,81.82,30.77,8,88.89,2026-05-08
1067 AP AERO DF AMBULATORIO T1,10,1,6,4,16.67,80.00,1,100.00,2026-05-08
1068 AP AERO MERIDA AMBULATORIO,12,7,9,3,77.78,30.00,6,85.71,2026-05-08
1069 AP TIJUANA ISLA,6,3,4,2,75.00,40.00,1,33.33,2026-05-08
2001 TC GUADALAJARA CAÑADAS,25,10,13,12,76.92,54.55,9,90.00,2026-05-08
2008 CC CDMX PUNTA NORTE,37,5,33,4,15.15,44.44,4,80.00,2026-05-08
2009 CC CANCÚN PASEOS,41,15,22,19,68.18,55.88,12,80.00,2026-05-08
2011 TC GUADALAJARA TESISTÁN,10,4,5,5,80.00,55.56,4,100.00,2026-05-08
2012 CC LERMA PLAZAS OUTLET,43,1,37,6,2.70,85.71,0,0.00,2026-05-08
2014 CC CUERNAVACA FORUM,33,17,21,12,80.95,41.38,16,94.12,2026-05-08
2015 EXPLANADA PACHUCA,27,10,19,8,52.63,44.44,10,100.00,2026-05-08
2016 CC QUERETARO PREMIUM OUTLETS,26,8,20,6,40.00,42.86,8,100.00,2026-05-08
2018 CC EXPLANADA CULIACAN,45,16,22,23,72.73,58.97,15,93.75,2026-05-08
2021 CC CDMX PORTAL CENTRO,35,13,21,14,61.90,51.85,13,100.00,2026-05-08
2022 CC LEON NUEVO MULZA,36,14,35,1,40.00,6.67,14,100.00,2026-05-08
2023 CC OUTLET RIVIERA MAYA,18,5,11,7,45.45,58.33,5,100.00,2026-05-08
2024 CC OUTLET LEON,19,8,14,5,57.14,38.46,8,100.00,2026-05-08
2050 TC GUADALAJARA MFS VALLARTA,26,5,22,4,22.73,44.44,4,80.00,2026-05-08
