Tienda,Orders,Registrados,Tickets Válidos,Recompras,Conversion (%),Tasa Recompras (%),Verificados,% Verificados,FechaBase
1001 AP GUADALAJARA,19,9,17,2,52.94,18.18,1,11.11,2026-03-31
1002 AP PUERTO VALLARTA LOCAL,3,2,2,1,100.00,33.33,2,100.00,2026-03-31
1003 AP PUERTO VALLARTA ESCALA,4,3,4,0,75.00,0.00,3,100.00,2026-03-31
1004 AP MERIDA,5,1,2,3,50.00,75.00,1,100.00,2026-03-31
1010 AP CDMX BJ T2,6,2,6,0,33.33,0.00,2,100.00,2026-03-31
1015 CC GUADALAJARA PLAZA ANDARES,1,0,0,1,0.00,100.00,0,0.00,2026-03-31
1017 CC MORELIA AMERICAS,11,7,9,2,77.78,22.22,7,100.00,2026-03-31
1018 CC MERIDA ALTABRISA,11,6,6,5,100.00,45.45,6,100.00,2026-03-31
1020 AP GUADALAJARA ISLA,11,4,10,1,40.00,20.00,4,100.00,2026-03-31
1021 CC PUEBLA ANGELOPOLIS,6,5,5,1,100.00,16.67,5,100.00,2026-03-31
1023 CC SAN LUIS POTOSÍ,2,1,1,1,100.00,50.00,0,0.00,2026-03-31
1024 CC VILLAHERMOSA ALTABRISA,2,2,2,0,100.00,0.00,2,100.00,2026-03-31
1025 CC MERIDA GALERIAS,5,3,3,2,100.00,40.00,3,100.00,2026-03-31
1026 AP VILLAHERMOSA,7,4,5,2,80.00,33.33,3,75.00,2026-03-31
1030 AP CULIACÁN,6,4,5,1,80.00,20.00,3,75.00,2026-03-31
1031 CC CDMX FORUM BUENAVISTA,10,5,5,5,100.00,50.00,5,100.00,2026-03-31
1032 CC CAMPECHE GALERIAS,5,1,2,3,50.00,75.00,1,100.00,2026-03-31
1034 CC QUERETARO PLAZA ANTEA,4,0,2,2,0.00,100.00,0,0.00,2026-03-31
1036 CC CULIACÁN PLAZA FORUM,3,1,1,2,100.00,66.67,1,100.00,2026-03-31
1037 AP CANCÚN SALA AIRE,9,1,9,0,11.11,0.00,1,100.00,2026-03-31
1038 AP LOS CABOS,8,2,7,1,28.57,33.33,2,100.00,2026-03-31
1042 CC GUADALAJARA GALERIAS,3,1,1,2,100.00,66.67,0,0.00,2026-03-31
1044 CC MERIDA LA ISLA,3,0,1,2,0.00,100.00,0,0.00,2026-03-31
1045 CC TUXTLA FASHION MALL,4,1,2,2,50.00,66.67,1,100.00,2026-03-31
1046 CC CABOS PUERTO PARAISO,12,5,6,6,83.33,54.55,5,100.00,2026-03-31
1047 CC GUADALAJARA PLAZA PATRIA,2,1,1,1,100.00,50.00,1,100.00,2026-03-31
1048 AP DEL BAJIO,6,4,5,1,80.00,20.00,4,100.00,2026-03-31
1049 CC GUADALAJARA LA PERLA,5,3,4,1,75.00,25.00,3,100.00,2026-03-31
1052 CC CDMX LAS ANTENAS,4,3,3,1,100.00,25.00,2,66.67,2026-03-31
1053 CC VERACRUZ ANDAMAR,5,4,4,1,100.00,20.00,3,75.00,2026-03-31
1054 CC CDMX PARQUE LINDAVISTA,4,1,1,3,100.00,75.00,1,100.00,2026-03-31
1055 CC CDMX PARQUE VIA VALLEJO,4,1,1,3,100.00,75.00,1,100.00,2026-03-31
1058 AP TIJUANA AMBULATORIO,5,3,4,1,75.00,25.00,3,100.00,2026-03-31
1064 CC CDMX SATÉLITE,7,3,4,3,75.00,50.00,3,100.00,2026-03-31
1065 CC CDMX PARQUE TEPEYAC,7,1,4,3,25.00,75.00,1,100.00,2026-03-31
1066 CC CANCUN AMERICAS,3,2,2,1,100.00,33.33,2,100.00,2026-03-31
1067 AP AERO DF AMBULATORIO T1,2,0,2,0,0.00,0.00,0,0.00,2026-03-31
1068 AP AERO MERIDA AMBULATORIO,5,0,2,3,0.00,100.00,0,0.00,2026-03-31
1069 AP TIJUANA ISLA,8,1,5,3,20.00,75.00,1,100.00,2026-03-31
2001 TC GUADALAJARA CAÑADAS,8,5,5,3,100.00,37.50,5,100.00,2026-03-31
2004 CC LEON MULZA,13,3,9,4,33.33,57.14,2,66.67,2026-03-31
2008 CC CDMX PUNTA NORTE,7,1,6,1,16.67,50.00,1,100.00,2026-03-31
2009 CC CANCÚN PASEOS,25,13,15,10,86.67,43.48,13,100.00,2026-03-31
2011 TC GUADALAJARA TESISTÁN,3,1,1,2,100.00,66.67,1,100.00,2026-03-31
2012 CC LERMA PLAZAS OUTLET,14,8,13,1,61.54,11.11,7,87.50,2026-03-31
2014 CC CUERNAVACA FORUM,18,7,12,6,58.33,46.15,6,85.71,2026-03-31
2015 EXPLANADA PACHUCA,14,5,8,6,62.50,54.55,5,100.00,2026-03-31
2016 CC QUERETARO PREMIUM OUTLETS,14,7,11,3,63.64,30.00,5,71.43,2026-03-31
2018 CC EXPLANADA CULIACAN,11,6,6,5,100.00,45.45,5,83.33,2026-03-31
2021 CC CDMX PORTAL CENTRO,4,3,4,0,75.00,0.00,3,100.00,2026-03-31
2022 CC LEON NUEVO MULZA,10,1,7,3,14.29,75.00,1,100.00,2026-03-31
2023 CC OUTLET RIVIERA MAYA,10,5,7,3,71.43,37.50,5,100.00,2026-03-31
2024 CC OUTLET LEON,7,3,5,2,60.00,40.00,3,100.00,2026-03-31
2050 TC GUADALAJARA MFS VALLARTA,9,6,8,1,75.00,14.29,6,100.00,2026-03-31
