Tienda,Orders,Registrados,Tickets Válidos,Recompras,Conversion (%),Tasa Recompras (%),Verificados,% Verificados,FechaBase
1001 AP GUADALAJARA,17,5,13,4,38.46,44.44,1,20.00,2026-05-16
1002 AP PUERTO VALLARTA LOCAL,5,3,4,1,75.00,25.00,2,66.67,2026-05-16
1003 AP PUERTO VALLARTA ESCALA,2,2,2,0,100.00,0.00,2,100.00,2026-05-16
1004 AP MERIDA,9,3,7,2,42.86,40.00,3,100.00,2026-05-16
1010 AP CDMX BJ T2,13,2,10,3,20.00,60.00,2,100.00,2026-05-16
1015 CC GUADALAJARA PLAZA ANDARES,7,3,5,2,60.00,40.00,2,66.67,2026-05-16
1017 CC MORELIA AMERICAS,14,9,10,4,90.00,30.77,9,100.00,2026-05-16
1018 CC MERIDA ALTABRISA,20,6,8,12,75.00,66.67,5,83.33,2026-05-16
1020 AP GUADALAJARA ISLA,12,3,12,0,25.00,0.00,3,100.00,2026-05-16
1021 CC PUEBLA ANGELOPOLIS,18,10,11,7,90.91,41.18,8,80.00,2026-05-16
1023 CC SAN LUIS POTOSÍ,7,4,4,3,100.00,42.86,3,75.00,2026-05-16
1024 CC VILLAHERMOSA ALTABRISA,11,6,6,5,100.00,45.45,6,100.00,2026-05-16
1025 CC MERIDA GALERIAS,9,5,6,3,83.33,37.50,4,80.00,2026-05-16
1026 AP VILLAHERMOSA,2,1,2,0,50.00,0.00,1,100.00,2026-05-16
1030 AP CULIACÁN,7,4,6,1,66.67,20.00,3,75.00,2026-05-16
1031 CC CDMX FORUM BUENAVISTA,11,3,5,6,60.00,66.67,3,100.00,2026-05-16
1032 CC CAMPECHE GALERIAS,10,7,7,3,100.00,30.00,7,100.00,2026-05-16
1034 CC QUERETARO PLAZA ANTEA,3,0,2,1,0.00,100.00,0,0.00,2026-05-16
1036 CC CULIACÁN PLAZA FORUM,7,2,4,3,50.00,60.00,2,100.00,2026-05-16
1037 AP CANCÚN SALA AIRE,21,2,21,0,9.52,0.00,2,100.00,2026-05-16
1038 AP LOS CABOS,9,3,7,2,42.86,40.00,3,100.00,2026-05-16
1042 CC GUADALAJARA GALERIAS,2,2,2,0,100.00,0.00,0,0.00,2026-05-16
1044 CC MERIDA LA ISLA,5,2,2,3,100.00,60.00,2,100.00,2026-05-16
1045 CC TUXTLA FASHION MALL,3,0,0,3,0.00,100.00,0,0.00,2026-05-16
1046 CC CABOS PUERTO PARAISO,12,5,7,5,71.43,50.00,5,100.00,2026-05-16
1047 CC GUADALAJARA PLAZA PATRIA,9,7,7,2,100.00,22.22,7,100.00,2026-05-16
1048 AP DEL BAJIO,7,1,7,0,14.29,0.00,1,100.00,2026-05-16
1049 CC GUADALAJARA LA PERLA,12,7,9,3,77.78,30.00,5,71.43,2026-05-16
1052 CC CDMX LAS ANTENAS,17,8,11,6,72.73,42.86,8,100.00,2026-05-16
1053 CC VERACRUZ ANDAMAR,8,3,7,1,42.86,25.00,3,100.00,2026-05-16
1054 CC CDMX PARQUE LINDAVISTA,13,7,9,4,77.78,36.36,5,71.43,2026-05-16
1055 CC CDMX PARQUE VIA VALLEJO,12,7,8,4,87.50,36.36,7,100.00,2026-05-16
1058 AP TIJUANA AMBULATORIO,5,0,3,2,0.00,100.00,0,0.00,2026-05-16
1064 CC CDMX SATÉLITE,18,10,11,7,90.91,41.18,8,80.00,2026-05-16
1065 CC CDMX PARQUE TEPEYAC,6,2,2,4,100.00,66.67,2,100.00,2026-05-16
1066 CC CANCUN AMERICAS,18,10,13,5,76.92,33.33,10,100.00,2026-05-16
1067 AP AERO DF AMBULATORIO T1,6,2,6,0,33.33,0.00,2,100.00,2026-05-16
1068 AP AERO MERIDA AMBULATORIO,5,0,2,3,0.00,100.00,0,0.00,2026-05-16
1069 AP TIJUANA ISLA,6,3,6,0,50.00,0.00,2,66.67,2026-05-16
2001 TC GUADALAJARA CAÑADAS,9,4,5,4,80.00,50.00,4,100.00,2026-05-16
2008 CC CDMX PUNTA NORTE,32,0,31,1,0.00,100.00,0,0.00,2026-05-16
2009 CC CANCÚN PASEOS,27,16,17,10,94.12,38.46,15,93.75,2026-05-16
2011 TC GUADALAJARA TESISTÁN,5,2,3,2,66.67,50.00,1,50.00,2026-05-16
2012 CC LERMA PLAZAS OUTLET,43,5,38,5,13.16,50.00,5,100.00,2026-05-16
2014 CC CUERNAVACA FORUM,22,8,11,11,72.73,57.89,7,87.50,2026-05-16
2015 EXPLANADA PACHUCA,24,6,14,10,42.86,62.50,5,83.33,2026-05-16
2016 CC QUERETARO PREMIUM OUTLETS,28,10,20,8,50.00,44.44,10,100.00,2026-05-16
2018 CC EXPLANADA CULIACAN,16,7,8,8,87.50,53.33,6,85.71,2026-05-16
2021 CC CDMX PORTAL CENTRO,18,11,13,5,84.62,31.25,11,100.00,2026-05-16
2022 CC LEON NUEVO MULZA,19,10,14,5,71.43,33.33,10,100.00,2026-05-16
2023 CC OUTLET RIVIERA MAYA,26,3,24,2,12.50,40.00,3,100.00,2026-05-16
2024 CC OUTLET LEON,14,3,12,2,25.00,40.00,3,100.00,2026-05-16
2050 TC GUADALAJARA MFS VALLARTA,15,6,12,3,50.00,33.33,6,100.00,2026-05-16
