Tienda,Orders,Registrados,Tickets Válidos,Recompras,Conversion (%),Tasa Recompras (%),Verificados,% Verificados,FechaBase
1001 AP GUADALAJARA,14,10,13,1,76.92,9.09,4,40.00,2026-03-25
1002 AP PUERTO VALLARTA LOCAL,3,2,3,0,66.67,0.00,2,100.00,2026-03-25
1003 AP PUERTO VALLARTA ESCALA,3,2,3,0,66.67,0.00,1,50.00,2026-03-25
1004 AP MERIDA,9,2,7,2,28.57,50.00,2,100.00,2026-03-25
1010 AP CDMX BJ T2,6,0,6,0,0.00,0.00,0,0.00,2026-03-25
1015 CC GUADALAJARA PLAZA ANDARES,2,2,2,0,100.00,0.00,2,100.00,2026-03-25
1017 CC MORELIA AMERICAS,6,4,5,1,80.00,20.00,4,100.00,2026-03-25
1018 CC MERIDA ALTABRISA,6,3,3,3,100.00,50.00,3,100.00,2026-03-25
1020 AP GUADALAJARA ISLA,8,1,8,0,12.50,0.00,1,100.00,2026-03-25
1021 CC PUEBLA ANGELOPOLIS,3,2,2,1,100.00,33.33,2,100.00,2026-03-25
1023 CC SAN LUIS POTOSÍ,3,3,3,0,100.00,0.00,2,66.67,2026-03-25
1024 CC VILLAHERMOSA ALTABRISA,6,3,3,3,100.00,50.00,3,100.00,2026-03-25
1025 CC MERIDA GALERIAS,5,0,2,3,0.00,100.00,0,0.00,2026-03-25
1026 AP VILLAHERMOSA,8,5,7,1,71.43,16.67,5,100.00,2026-03-25
1030 AP CULIACÁN,4,2,2,2,100.00,50.00,2,100.00,2026-03-25
1031 CC CDMX FORUM BUENAVISTA,5,1,1,4,100.00,80.00,1,100.00,2026-03-25
1032 CC CAMPECHE GALERIAS,6,1,1,5,100.00,83.33,1,100.00,2026-03-25
1034 CC QUERETARO PLAZA ANTEA,2,2,2,0,100.00,0.00,2,100.00,2026-03-25
1036 CC CULIACÁN PLAZA FORUM,8,3,3,5,100.00,62.50,3,100.00,2026-03-25
1037 AP CANCÚN SALA AIRE,11,1,10,1,10.00,50.00,1,100.00,2026-03-25
1038 AP LOS CABOS,4,0,4,0,0.00,0.00,0,0.00,2026-03-25
1042 CC GUADALAJARA GALERIAS,1,0,0,1,0.00,100.00,0,0.00,2026-03-25
1044 CC MERIDA LA ISLA,3,1,1,2,100.00,66.67,1,100.00,2026-03-25
1045 CC TUXTLA FASHION MALL,4,2,3,1,66.67,33.33,2,100.00,2026-03-25
1046 CC CABOS PUERTO PARAISO,13,6,8,5,75.00,45.45,6,100.00,2026-03-25
1047 CC GUADALAJARA PLAZA PATRIA,3,1,1,2,100.00,66.67,1,100.00,2026-03-25
1048 AP DEL BAJIO,3,3,3,0,100.00,0.00,3,100.00,2026-03-25
1049 CC GUADALAJARA LA PERLA,5,0,4,1,0.00,100.00,0,0.00,2026-03-25
1052 CC CDMX LAS ANTENAS,2,0,1,1,0.00,100.00,0,0.00,2026-03-25
1053 CC VERACRUZ ANDAMAR,6,3,4,2,75.00,40.00,3,100.00,2026-03-25
1054 CC CDMX PARQUE LINDAVISTA,2,1,2,0,50.00,0.00,1,100.00,2026-03-25
1055 CC CDMX PARQUE VIA VALLEJO,2,2,2,0,100.00,0.00,1,50.00,2026-03-25
1058 AP TIJUANA AMBULATORIO,4,2,4,0,50.00,0.00,2,100.00,2026-03-25
1064 CC CDMX SATÉLITE,1,1,1,0,100.00,0.00,1,100.00,2026-03-25
1065 CC CDMX PARQUE TEPEYAC,3,1,1,2,100.00,66.67,1,100.00,2026-03-25
1066 CC CANCUN AMERICAS,4,2,3,1,66.67,33.33,2,100.00,2026-03-25
1067 AP AERO DF AMBULATORIO T1,4,2,4,0,50.00,0.00,2,100.00,2026-03-25
1068 AP AERO MERIDA AMBULATORIO,4,1,4,0,25.00,0.00,1,100.00,2026-03-25
1069 AP TIJUANA ISLA,5,2,5,0,40.00,0.00,2,100.00,2026-03-25
2001 TC GUADALAJARA CAÑADAS,13,9,11,2,81.82,18.18,9,100.00,2026-03-25
2004 CC LEON MULZA,7,0,5,2,0.00,100.00,0,0.00,2026-03-25
2008 CC CDMX PUNTA NORTE,5,1,3,2,33.33,66.67,1,100.00,2026-03-25
2009 CC CANCÚN PASEOS,19,11,12,7,91.67,38.89,11,100.00,2026-03-25
2011 TC GUADALAJARA TESISTÁN,8,2,3,5,66.67,71.43,2,100.00,2026-03-25
2012 CC LERMA PLAZAS OUTLET,13,6,9,4,66.67,40.00,6,100.00,2026-03-25
2014 CC CUERNAVACA FORUM,10,4,7,3,57.14,42.86,3,75.00,2026-03-25
2015 EXPLANADA PACHUCA,12,3,6,6,50.00,66.67,3,100.00,2026-03-25
2016 CC QUERETARO PREMIUM OUTLETS,5,3,4,1,75.00,25.00,3,100.00,2026-03-25
2018 CC EXPLANADA CULIACAN,10,3,4,6,75.00,66.67,3,100.00,2026-03-25
2021 CC CDMX PORTAL CENTRO,9,3,5,4,60.00,57.14,3,100.00,2026-03-25
2022 CC LEON NUEVO MULZA,5,3,5,0,60.00,0.00,2,66.67,2026-03-25
2023 CC OUTLET RIVIERA MAYA,7,4,7,0,57.14,0.00,4,100.00,2026-03-25
2024 CC OUTLET LEON,4,2,3,1,66.67,33.33,2,100.00,2026-03-25
2050 TC GUADALAJARA MFS VALLARTA,14,2,13,1,15.38,33.33,2,100.00,2026-03-25
