Tienda,Orders,Registrados,Tickets Válidos,Recompras,Conversion (%),Tasa Recompras (%),Verificados,% Verificados,FechaBase
1001 AP GUADALAJARA,10,4,8,2,50.00,33.33,2,50.00,2026-04-11
1002 AP PUERTO VALLARTA LOCAL,3,2,3,0,66.67,0.00,1,50.00,2026-04-11
1003 AP PUERTO VALLARTA ESCALA,2,1,2,0,50.00,0.00,1,100.00,2026-04-11
1004 AP MERIDA,2,0,1,1,0.00,100.00,0,0.00,2026-04-11
1010 AP CDMX BJ T2,13,3,11,2,27.27,40.00,3,100.00,2026-04-11
1015 CC GUADALAJARA PLAZA ANDARES,7,3,4,3,75.00,50.00,3,100.00,2026-04-11
1017 CC MORELIA AMERICAS,16,10,11,5,90.91,33.33,10,100.00,2026-04-11
1018 CC MERIDA ALTABRISA,14,4,4,10,100.00,71.43,4,100.00,2026-04-11
1020 AP GUADALAJARA ISLA,8,6,8,0,75.00,0.00,3,50.00,2026-04-11
1021 CC PUEBLA ANGELOPOLIS,15,9,10,5,90.00,35.71,7,77.78,2026-04-11
1023 CC SAN LUIS POTOSÍ,3,3,3,0,100.00,0.00,1,33.33,2026-04-11
1024 CC VILLAHERMOSA ALTABRISA,10,4,6,4,66.67,50.00,4,100.00,2026-04-11
1025 CC MERIDA GALERIAS,10,3,4,6,75.00,66.67,3,100.00,2026-04-11
1026 AP VILLAHERMOSA,5,0,1,4,0.00,100.00,0,0.00,2026-04-11
1030 AP CULIACÁN,6,2,3,3,66.67,60.00,0,0.00,2026-04-11
1031 CC CDMX FORUM BUENAVISTA,14,11,12,2,91.67,15.38,10,90.91,2026-04-11
1032 CC CAMPECHE GALERIAS,3,1,1,2,100.00,66.67,1,100.00,2026-04-11
1034 CC QUERETARO PLAZA ANTEA,3,2,2,1,100.00,33.33,2,100.00,2026-04-11
1036 CC CULIACÁN PLAZA FORUM,10,3,3,7,100.00,70.00,3,100.00,2026-04-11
1037 AP CANCÚN SALA AIRE,9,3,8,1,37.50,25.00,3,100.00,2026-04-11
1038 AP LOS CABOS,10,2,9,1,22.22,33.33,2,100.00,2026-04-11
1042 CC GUADALAJARA GALERIAS,4,1,1,3,100.00,75.00,0,0.00,2026-04-11
1044 CC MERIDA LA ISLA,14,10,10,4,100.00,28.57,10,100.00,2026-04-11
1045 CC TUXTLA FASHION MALL,8,5,5,3,100.00,37.50,3,60.00,2026-04-11
1046 CC CABOS PUERTO PARAISO,5,2,2,3,100.00,60.00,2,100.00,2026-04-11
1047 CC GUADALAJARA PLAZA PATRIA,8,4,6,2,66.67,33.33,4,100.00,2026-04-11
1048 AP DEL BAJIO,4,3,3,1,100.00,25.00,3,100.00,2026-04-11
1052 CC CDMX LAS ANTENAS,2,0,2,0,0.00,0.00,0,0.00,2026-04-11
1053 CC VERACRUZ ANDAMAR,7,3,3,4,100.00,57.14,3,100.00,2026-04-11
1054 CC CDMX PARQUE LINDAVISTA,6,3,3,3,100.00,50.00,3,100.00,2026-04-11
1055 CC CDMX PARQUE VIA VALLEJO,7,4,4,3,100.00,42.86,4,100.00,2026-04-11
1058 AP TIJUANA AMBULATORIO,3,2,3,0,66.67,0.00,2,100.00,2026-04-11
1064 CC CDMX SATÉLITE,11,6,7,4,85.71,40.00,5,83.33,2026-04-11
1065 CC CDMX PARQUE TEPEYAC,13,6,7,6,85.71,50.00,6,100.00,2026-04-11
1066 CC CANCUN AMERICAS,11,3,4,7,75.00,70.00,3,100.00,2026-04-11
1067 AP AERO DF AMBULATORIO T1,2,0,2,0,0.00,0.00,0,0.00,2026-04-11
1068 AP AERO MERIDA AMBULATORIO,5,3,4,1,75.00,25.00,2,66.67,2026-04-11
1069 AP TIJUANA ISLA,6,1,4,2,25.00,66.67,1,100.00,2026-04-11
2001 TC GUADALAJARA CAÑADAS,13,7,8,5,87.50,41.67,7,100.00,2026-04-11
2004 CC LEON MULZA,22,11,16,6,68.75,35.29,10,90.91,2026-04-11
2008 CC CDMX PUNTA NORTE,27,8,17,10,47.06,55.56,8,100.00,2026-04-11
2009 CC CANCÚN PASEOS,33,14,22,11,63.64,44.00,14,100.00,2026-04-11
2011 TC GUADALAJARA TESISTÁN,4,2,3,1,66.67,33.33,2,100.00,2026-04-11
2012 CC LERMA PLAZAS OUTLET,44,13,37,7,35.14,35.00,11,84.62,2026-04-11
2014 CC CUERNAVACA FORUM,23,13,16,7,81.25,35.00,12,92.31,2026-04-11
2015 EXPLANADA PACHUCA,24,7,12,12,58.33,63.16,7,100.00,2026-04-11
2016 CC QUERETARO PREMIUM OUTLETS,21,4,19,2,21.05,33.33,4,100.00,2026-04-11
2018 CC EXPLANADA CULIACAN,8,3,3,5,100.00,62.50,3,100.00,2026-04-11
2021 CC CDMX PORTAL CENTRO,17,5,5,12,100.00,70.59,5,100.00,2026-04-11
2022 CC LEON NUEVO MULZA,22,9,16,6,56.25,40.00,9,100.00,2026-04-11
2023 CC OUTLET RIVIERA MAYA,23,8,21,2,38.10,20.00,7,87.50,2026-04-11
2024 CC OUTLET LEON,17,4,9,8,44.44,66.67,4,100.00,2026-04-11
2050 TC GUADALAJARA MFS VALLARTA,14,7,11,3,63.64,30.00,6,85.71,2026-04-11
