Tienda,Orders,Registrados,Tickets Válidos,Recompras,Conversion (%),Tasa Recompras (%),Verificados,% Verificados,FechaBase
1001 AP GUADALAJARA,14,6,11,3,54.55,33.33,1,16.67,2026-03-28
1002 AP PUERTO VALLARTA LOCAL,2,1,1,1,100.00,50.00,0,0.00,2026-03-28
1003 AP PUERTO VALLARTA ESCALA,1,1,1,0,100.00,0.00,0,0.00,2026-03-28
1004 AP MERIDA,2,0,2,0,0.00,0.00,0,0.00,2026-03-28
1010 AP CDMX BJ T2,14,4,14,0,28.57,0.00,4,100.00,2026-03-28
1015 CC GUADALAJARA PLAZA ANDARES,5,3,4,1,75.00,25.00,3,100.00,2026-03-28
1017 CC MORELIA AMERICAS,12,6,8,4,75.00,40.00,5,83.33,2026-03-28
1018 CC MERIDA ALTABRISA,33,13,13,20,100.00,60.61,13,100.00,2026-03-28
1020 AP GUADALAJARA ISLA,16,7,14,2,50.00,22.22,4,57.14,2026-03-28
1021 CC PUEBLA ANGELOPOLIS,16,12,13,3,92.31,20.00,9,75.00,2026-03-28
1023 CC SAN LUIS POTOSÍ,4,2,2,2,100.00,50.00,1,50.00,2026-03-28
1024 CC VILLAHERMOSA ALTABRISA,7,5,6,1,83.33,16.67,5,100.00,2026-03-28
1025 CC MERIDA GALERIAS,6,5,5,1,100.00,16.67,5,100.00,2026-03-28
1026 AP VILLAHERMOSA,1,0,0,1,0.00,100.00,0,0.00,2026-03-28
1030 AP CULIACÁN,2,1,1,1,100.00,50.00,1,100.00,2026-03-28
1031 CC CDMX FORUM BUENAVISTA,16,9,11,5,81.82,35.71,9,100.00,2026-03-28
1032 CC CAMPECHE GALERIAS,5,3,3,2,100.00,40.00,2,66.67,2026-03-28
1034 CC QUERETARO PLAZA ANTEA,8,3,5,3,60.00,50.00,3,100.00,2026-03-28
1036 CC CULIACÁN PLAZA FORUM,1,1,1,0,100.00,0.00,1,100.00,2026-03-28
1037 AP CANCÚN SALA AIRE,5,0,4,1,0.00,100.00,0,0.00,2026-03-28
1038 AP LOS CABOS,2,0,2,0,0.00,0.00,0,0.00,2026-03-28
1042 CC GUADALAJARA GALERIAS,4,2,2,2,100.00,50.00,2,100.00,2026-03-28
1044 CC MERIDA LA ISLA,4,2,4,0,50.00,0.00,2,100.00,2026-03-28
1045 CC TUXTLA FASHION MALL,5,1,1,4,100.00,80.00,1,100.00,2026-03-28
1046 CC CABOS PUERTO PARAISO,27,11,15,12,73.33,52.17,11,100.00,2026-03-28
1047 CC GUADALAJARA PLAZA PATRIA,7,3,3,4,100.00,57.14,3,100.00,2026-03-28
1048 AP DEL BAJIO,3,2,3,0,66.67,0.00,2,100.00,2026-03-28
1049 CC GUADALAJARA LA PERLA,10,3,6,4,50.00,57.14,3,100.00,2026-03-28
1052 CC CDMX LAS ANTENAS,6,4,5,1,80.00,20.00,4,100.00,2026-03-28
1053 CC VERACRUZ ANDAMAR,6,3,5,1,60.00,25.00,3,100.00,2026-03-28
1054 CC CDMX PARQUE LINDAVISTA,8,6,7,1,85.71,14.29,6,100.00,2026-03-28
1055 CC CDMX PARQUE VIA VALLEJO,3,1,1,2,100.00,66.67,1,100.00,2026-03-28
1058 AP TIJUANA AMBULATORIO,5,2,4,1,50.00,33.33,1,50.00,2026-03-28
1064 CC CDMX SATÉLITE,12,9,9,3,100.00,25.00,8,88.89,2026-03-28
1065 CC CDMX PARQUE TEPEYAC,8,6,7,1,85.71,14.29,6,100.00,2026-03-28
1066 CC CANCUN AMERICAS,4,4,4,0,100.00,0.00,4,100.00,2026-03-28
1067 AP AERO DF AMBULATORIO T1,9,0,9,0,0.00,0.00,0,0.00,2026-03-28
1068 AP AERO MERIDA AMBULATORIO,4,1,3,1,33.33,50.00,1,100.00,2026-03-28
1069 AP TIJUANA ISLA,5,2,4,1,50.00,33.33,2,100.00,2026-03-28
2001 TC GUADALAJARA CAÑADAS,16,2,6,10,33.33,83.33,2,100.00,2026-03-28
2004 CC LEON MULZA,21,10,19,2,52.63,16.67,10,100.00,2026-03-28
2008 CC CDMX PUNTA NORTE,19,2,16,3,12.50,60.00,1,50.00,2026-03-28
2009 CC CANCÚN PASEOS,25,16,16,9,100.00,36.00,16,100.00,2026-03-28
2011 TC GUADALAJARA TESISTÁN,6,0,1,5,0.00,100.00,0,0.00,2026-03-28
2012 CC LERMA PLAZAS OUTLET,42,20,31,11,64.52,35.48,20,100.00,2026-03-28
2014 CC CUERNAVACA FORUM,20,13,17,3,76.47,18.75,12,92.31,2026-03-28
2015 EXPLANADA PACHUCA,36,16,26,10,61.54,38.46,15,93.75,2026-03-28
2016 CC QUERETARO PREMIUM OUTLETS,30,11,17,13,64.71,54.17,11,100.00,2026-03-28
2018 CC EXPLANADA CULIACAN,14,3,7,7,42.86,70.00,1,33.33,2026-03-28
2021 CC CDMX PORTAL CENTRO,12,8,8,4,100.00,33.33,7,87.50,2026-03-28
2022 CC LEON NUEVO MULZA,17,10,14,3,71.43,23.08,10,100.00,2026-03-28
2023 CC OUTLET RIVIERA MAYA,9,2,5,4,40.00,66.67,1,50.00,2026-03-28
2024 CC OUTLET LEON,12,5,9,3,55.56,37.50,5,100.00,2026-03-28
2050 TC GUADALAJARA MFS VALLARTA,13,3,9,4,33.33,57.14,3,100.00,2026-03-28
