Tienda,Orders,Registrados,Tickets Válidos,Recompras,Conversion (%),Tasa Recompras (%),Verificados,% Verificados,FechaBase
1001 AP GUADALAJARA,15,7,12,3,58.33,30.00,1,14.29,2026-02-26
1002 AP PUERTO VALLARTA LOCAL,5,3,4,1,75.00,25.00,0,0.00,2026-02-26
1003 AP PUERTO VALLARTA ESCALA,7,6,6,1,100.00,14.29,4,66.67,2026-02-26
1004 AP MERIDA,5,2,4,1,50.00,33.33,2,100.00,2026-02-26
1010 AP CDMX BJ T2,8,1,8,0,12.50,0.00,1,100.00,2026-02-26
1015 CC GUADALAJARA PLAZA ANDARES,1,0,0,1,0.00,100.00,0,0.00,2026-02-26
1017 CC MORELIA AMERICAS,13,8,9,4,88.89,33.33,8,100.00,2026-02-26
1018 CC MERIDA ALTABRISA,8,5,5,3,100.00,37.50,4,80.00,2026-02-26
1020 AP GUADALAJARA ISLA,6,2,5,1,40.00,33.33,2,100.00,2026-02-26
1021 CC PUEBLA ANGELOPOLIS,8,7,7,1,100.00,12.50,6,85.71,2026-02-26
1023 CC SAN LUIS POTOSÍ,3,1,2,1,50.00,50.00,1,100.00,2026-02-26
1024 CC VILLAHERMOSA ALTABRISA,11,7,7,4,100.00,36.36,7,100.00,2026-02-26
1025 CC MERIDA GALERIAS,9,2,4,5,50.00,71.43,2,100.00,2026-02-26
1026 AP VILLAHERMOSA,4,3,3,1,100.00,25.00,3,100.00,2026-02-26
1030 AP CULIACÁN,7,2,3,4,66.67,66.67,0,0.00,2026-02-26
1031 CC CDMX FORUM BUENAVISTA,9,4,6,3,66.67,42.86,4,100.00,2026-02-26
1032 CC CAMPECHE GALERIAS,5,2,2,3,100.00,60.00,2,100.00,2026-02-26
1034 CC QUERETARO PLAZA ANTEA,3,2,2,1,100.00,33.33,2,100.00,2026-02-26
1036 CC CULIACÁN PLAZA FORUM,4,2,3,1,66.67,33.33,2,100.00,2026-02-26
1037 AP CANCÚN SALA AIRE,11,0,11,0,0.00,0.00,0,0.00,2026-02-26
1038 AP LOS CABOS,7,2,6,1,33.33,33.33,2,100.00,2026-02-26
1042 CC GUADALAJARA GALERIAS,1,1,1,0,100.00,0.00,1,100.00,2026-02-26
1045 CC TUXTLA FASHION MALL,2,1,1,1,100.00,50.00,1,100.00,2026-02-26
1046 CC CABOS PUERTO PARAISO,14,5,9,5,55.56,50.00,5,100.00,2026-02-26
1047 CC GUADALAJARA PLAZA PATRIA,4,2,2,2,100.00,50.00,2,100.00,2026-02-26
1048 AP DEL BAJIO,4,2,2,2,100.00,50.00,1,50.00,2026-02-26
1052 CC CDMX LAS ANTENAS,5,0,4,1,0.00,100.00,0,0.00,2026-02-26
1053 CC VERACRUZ ANDAMAR,7,3,6,1,50.00,25.00,3,100.00,2026-02-26
1054 CC CDMX PARQUE LINDAVISTA,1,0,0,1,0.00,100.00,0,0.00,2026-02-26
1055 CC CDMX PARQUE VIA VALLEJO,2,0,1,1,0.00,100.00,0,0.00,2026-02-26
1058 AP TIJUANA AMBULATORIO,4,0,1,3,0.00,100.00,0,0.00,2026-02-26
1064 CC CDMX SATÉLITE,1,0,0,1,0.00,100.00,0,0.00,2026-02-26
1065 CC CDMX PARQUE TEPEYAC,4,1,2,2,50.00,66.67,1,100.00,2026-02-26
1066 CC CANCUN AMERICAS,7,1,3,4,33.33,80.00,1,100.00,2026-02-26
1067 AP AERO DF AMBULATORIO T1,5,1,5,0,20.00,0.00,1,100.00,2026-02-26
1068 AP AERO MERIDA AMBULATORIO,4,4,4,0,100.00,0.00,3,75.00,2026-02-26
1069 AP TIJUANA ISLA,2,2,2,0,100.00,0.00,1,50.00,2026-02-26
2001 TC GUADALAJARA CAÑADAS,12,5,7,5,71.43,50.00,5,100.00,2026-02-26
2004 CC LEON MULZA,8,3,6,2,50.00,40.00,3,100.00,2026-02-26
2008 CC CDMX PUNTA NORTE,7,5,5,2,100.00,28.57,5,100.00,2026-02-26
2009 CC CANCÚN PASEOS,13,5,7,6,71.43,54.55,5,100.00,2026-02-26
2011 TC GUADALAJARA TESISTÁN,9,1,2,7,50.00,87.50,1,100.00,2026-02-26
2012 CC LERMA PLAZAS OUTLET,11,5,8,3,62.50,37.50,5,100.00,2026-02-26
2014 CC CUERNAVACA FORUM,9,4,5,4,80.00,50.00,4,100.00,2026-02-26
2015 EXPLANADA PACHUCA,12,3,5,7,60.00,70.00,3,100.00,2026-02-26
2016 CC QUERETARO PREMIUM OUTLETS,8,6,8,0,75.00,0.00,6,100.00,2026-02-26
2018 CC EXPLANADA CULIACAN,6,1,3,3,33.33,75.00,1,100.00,2026-02-26
2021 CC CDMX PORTAL CENTRO,10,2,5,5,40.00,71.43,2,100.00,2026-02-26
2022 CC LEON NUEVO MULZA,6,2,3,3,66.67,60.00,2,100.00,2026-02-26
2023 CC OUTLET RIVIERA MAYA,12,2,8,4,25.00,66.67,2,100.00,2026-02-26
2024 CC OUTLET LEON,3,1,2,1,50.00,50.00,1,100.00,2026-02-26
2050 TC GUADALAJARA MFS VALLARTA,6,1,2,4,50.00,80.00,1,100.00,2026-02-26
