Tienda,Orders,Registrados,Tickets Válidos,Recompras,Conversion (%),Tasa Recompras (%),Verificados,% Verificados,FechaBase
1001 AP GUADALAJARA,23,13,19,4,68.42,23.53,9,69.23,2026-05-11
1002 AP PUERTO VALLARTA LOCAL,4,2,4,0,50.00,0.00,2,100.00,2026-05-11
1003 AP PUERTO VALLARTA ESCALA,4,3,4,0,75.00,0.00,2,66.67,2026-05-11
1004 AP MERIDA,4,2,4,0,50.00,0.00,2,100.00,2026-05-11
1010 AP CDMX BJ T2,13,4,11,2,36.36,33.33,4,100.00,2026-05-11
1015 CC GUADALAJARA PLAZA ANDARES,3,1,2,1,50.00,50.00,1,100.00,2026-05-11
1017 CC MORELIA AMERICAS,13,8,9,4,88.89,33.33,8,100.00,2026-05-11
1018 CC MERIDA ALTABRISA,3,3,3,0,100.00,0.00,2,66.67,2026-05-11
1020 AP GUADALAJARA ISLA,13,6,12,1,50.00,14.29,5,83.33,2026-05-11
1021 CC PUEBLA ANGELOPOLIS,13,9,10,3,90.00,25.00,8,88.89,2026-05-11
1023 CC SAN LUIS POTOSÍ,10,4,5,5,80.00,55.56,3,75.00,2026-05-11
1024 CC VILLAHERMOSA ALTABRISA,10,4,4,6,100.00,60.00,3,75.00,2026-05-11
1025 CC MERIDA GALERIAS,12,4,7,5,57.14,55.56,4,100.00,2026-05-11
1026 AP VILLAHERMOSA,3,3,3,0,100.00,0.00,3,100.00,2026-05-11
1030 AP CULIACÁN,9,4,5,4,80.00,50.00,3,75.00,2026-05-11
1031 CC CDMX FORUM BUENAVISTA,8,4,4,4,100.00,50.00,3,75.00,2026-05-11
1032 CC CAMPECHE GALERIAS,6,0,1,5,0.00,100.00,0,0.00,2026-05-11
1034 CC QUERETARO PLAZA ANTEA,2,1,2,0,50.00,0.00,1,100.00,2026-05-11
1036 CC CULIACÁN PLAZA FORUM,3,0,0,3,0.00,100.00,0,0.00,2026-05-11
1037 AP CANCÚN SALA AIRE,11,0,10,1,0.00,100.00,0,0.00,2026-05-11
1038 AP LOS CABOS,9,4,8,1,50.00,20.00,3,75.00,2026-05-11
1042 CC GUADALAJARA GALERIAS,5,3,4,1,75.00,25.00,3,100.00,2026-05-11
1044 CC MERIDA LA ISLA,4,3,3,1,100.00,25.00,3,100.00,2026-05-11
1045 CC TUXTLA FASHION MALL,10,4,4,6,100.00,60.00,4,100.00,2026-05-11
1046 CC CABOS PUERTO PARAISO,21,7,10,11,70.00,61.11,7,100.00,2026-05-11
1047 CC GUADALAJARA PLAZA PATRIA,6,2,2,4,100.00,66.67,2,100.00,2026-05-11
1048 AP DEL BAJIO,5,2,4,1,50.00,33.33,2,100.00,2026-05-11
1049 CC GUADALAJARA LA PERLA,2,2,2,0,100.00,0.00,2,100.00,2026-05-11
1052 CC CDMX LAS ANTENAS,6,1,6,0,16.67,0.00,1,100.00,2026-05-11
1053 CC VERACRUZ ANDAMAR,8,2,5,3,40.00,60.00,2,100.00,2026-05-11
1054 CC CDMX PARQUE LINDAVISTA,6,2,3,3,66.67,60.00,2,100.00,2026-05-11
1055 CC CDMX PARQUE VIA VALLEJO,1,0,0,1,0.00,100.00,0,0.00,2026-05-11
1058 AP TIJUANA AMBULATORIO,6,2,4,2,50.00,50.00,2,100.00,2026-05-11
1064 CC CDMX SATÉLITE,5,2,3,2,66.67,50.00,2,100.00,2026-05-11
1065 CC CDMX PARQUE TEPEYAC,2,1,1,1,100.00,50.00,1,100.00,2026-05-11
1066 CC CANCUN AMERICAS,11,6,7,4,85.71,40.00,6,100.00,2026-05-11
1067 AP AERO DF AMBULATORIO T1,6,1,6,0,16.67,0.00,1,100.00,2026-05-11
1068 AP AERO MERIDA AMBULATORIO,5,2,4,1,50.00,33.33,1,50.00,2026-05-11
1069 AP TIJUANA ISLA,4,0,3,1,0.00,100.00,0,0.00,2026-05-11
2001 TC GUADALAJARA CAÑADAS,18,5,8,10,62.50,66.67,5,100.00,2026-05-11
2008 CC CDMX PUNTA NORTE,9,0,6,3,0.00,100.00,0,0.00,2026-05-11
2009 CC CANCÚN PASEOS,14,5,7,7,71.43,58.33,5,100.00,2026-05-11
2011 TC GUADALAJARA TESISTÁN,11,6,6,5,100.00,45.45,6,100.00,2026-05-11
2012 CC LERMA PLAZAS OUTLET,13,0,13,0,0.00,0.00,0,0.00,2026-05-11
2014 CC CUERNAVACA FORUM,11,6,7,4,85.71,40.00,6,100.00,2026-05-11
2015 EXPLANADA PACHUCA,12,7,8,4,87.50,36.36,7,100.00,2026-05-11
2016 CC QUERETARO PREMIUM OUTLETS,12,3,5,7,60.00,70.00,3,100.00,2026-05-11
2018 CC EXPLANADA CULIACAN,10,4,6,4,66.67,50.00,3,75.00,2026-05-11
2021 CC CDMX PORTAL CENTRO,10,3,4,6,75.00,66.67,3,100.00,2026-05-11
2022 CC LEON NUEVO MULZA,15,5,9,6,55.56,54.55,5,100.00,2026-05-11
2023 CC OUTLET RIVIERA MAYA,12,4,9,3,44.44,42.86,4,100.00,2026-05-11
2024 CC OUTLET LEON,8,4,6,2,66.67,33.33,4,100.00,2026-05-11
2050 TC GUADALAJARA MFS VALLARTA,9,3,4,5,75.00,62.50,3,100.00,2026-05-11
