Tienda,Orders,Registrados,Tickets Válidos,Recompras,Conversion (%),Tasa Recompras (%),Verificados,% Verificados,FechaBase
1001 AP GUADALAJARA,11,6,8,3,75.00,33.33,4,66.67,2026-05-15
1002 AP PUERTO VALLARTA LOCAL,4,3,4,0,75.00,0.00,2,66.67,2026-05-15
1003 AP PUERTO VALLARTA ESCALA,1,0,1,0,0.00,0.00,0,0.00,2026-05-15
1004 AP MERIDA,4,2,4,0,50.00,0.00,2,100.00,2026-05-15
1010 AP CDMX BJ T2,12,7,10,2,70.00,22.22,7,100.00,2026-05-15
1015 CC GUADALAJARA PLAZA ANDARES,14,6,14,0,42.86,0.00,6,100.00,2026-05-15
1017 CC MORELIA AMERICAS,15,8,10,5,80.00,38.46,8,100.00,2026-05-15
1018 CC MERIDA ALTABRISA,13,6,7,6,85.71,50.00,6,100.00,2026-05-15
1020 AP GUADALAJARA ISLA,9,2,7,2,28.57,50.00,1,50.00,2026-05-15
1021 CC PUEBLA ANGELOPOLIS,12,4,8,4,50.00,50.00,2,50.00,2026-05-15
1023 CC SAN LUIS POTOSÍ,3,0,0,3,0.00,100.00,0,0.00,2026-05-15
1024 CC VILLAHERMOSA ALTABRISA,6,3,3,3,100.00,50.00,3,100.00,2026-05-15
1025 CC MERIDA GALERIAS,9,3,4,5,75.00,62.50,3,100.00,2026-05-15
1026 AP VILLAHERMOSA,7,5,6,1,83.33,16.67,5,100.00,2026-05-15
1030 AP CULIACÁN,5,2,2,3,100.00,60.00,1,50.00,2026-05-15
1031 CC CDMX FORUM BUENAVISTA,17,9,10,7,90.00,43.75,9,100.00,2026-05-15
1032 CC CAMPECHE GALERIAS,5,5,5,0,100.00,0.00,4,80.00,2026-05-15
1034 CC QUERETARO PLAZA ANTEA,3,2,2,1,100.00,33.33,1,50.00,2026-05-15
1036 CC CULIACÁN PLAZA FORUM,7,4,4,3,100.00,42.86,4,100.00,2026-05-15
1037 AP CANCÚN SALA AIRE,11,2,10,1,20.00,33.33,2,100.00,2026-05-15
1038 AP LOS CABOS,11,4,11,0,36.36,0.00,4,100.00,2026-05-15
1042 CC GUADALAJARA GALERIAS,4,2,2,2,100.00,50.00,0,0.00,2026-05-15
1044 CC MERIDA LA ISLA,1,1,1,0,100.00,0.00,1,100.00,2026-05-15
1045 CC TUXTLA FASHION MALL,5,0,0,5,0.00,100.00,0,0.00,2026-05-15
1046 CC CABOS PUERTO PARAISO,14,7,10,4,70.00,36.36,7,100.00,2026-05-15
1047 CC GUADALAJARA PLAZA PATRIA,6,6,6,0,100.00,0.00,6,100.00,2026-05-15
1048 AP DEL BAJIO,11,1,8,3,12.50,75.00,1,100.00,2026-05-15
1049 CC GUADALAJARA LA PERLA,5,1,1,4,100.00,80.00,1,100.00,2026-05-15
1052 CC CDMX LAS ANTENAS,8,3,3,5,100.00,62.50,3,100.00,2026-05-15
1053 CC VERACRUZ ANDAMAR,9,4,9,0,44.44,0.00,4,100.00,2026-05-15
1054 CC CDMX PARQUE LINDAVISTA,11,10,11,0,90.91,0.00,9,90.00,2026-05-15
1055 CC CDMX PARQUE VIA VALLEJO,7,2,4,3,50.00,60.00,2,100.00,2026-05-15
1058 AP TIJUANA AMBULATORIO,4,2,3,1,66.67,33.33,2,100.00,2026-05-15
1064 CC CDMX SATÉLITE,14,9,10,4,90.00,30.77,9,100.00,2026-05-15
1065 CC CDMX PARQUE TEPEYAC,3,3,3,0,100.00,0.00,3,100.00,2026-05-15
1066 CC CANCUN AMERICAS,7,2,3,4,66.67,66.67,2,100.00,2026-05-15
1067 AP AERO DF AMBULATORIO T1,8,0,8,0,0.00,0.00,0,0.00,2026-05-15
1068 AP AERO MERIDA AMBULATORIO,4,1,4,0,25.00,0.00,1,100.00,2026-05-15
1069 AP TIJUANA ISLA,4,3,3,1,100.00,25.00,1,33.33,2026-05-15
2001 TC GUADALAJARA CAÑADAS,29,5,11,18,45.45,78.26,5,100.00,2026-05-15
2008 CC CDMX PUNTA NORTE,26,0,24,2,0.00,100.00,0,0.00,2026-05-15
2009 CC CANCÚN PASEOS,42,19,28,14,67.86,42.42,19,100.00,2026-05-15
2011 TC GUADALAJARA TESISTÁN,9,2,2,7,100.00,77.78,2,100.00,2026-05-15
2012 CC LERMA PLAZAS OUTLET,30,5,21,9,23.81,64.29,5,100.00,2026-05-15
2014 CC CUERNAVACA FORUM,23,12,16,7,75.00,36.84,11,91.67,2026-05-15
2015 EXPLANADA PACHUCA,17,5,10,7,50.00,58.33,5,100.00,2026-05-15
2016 CC QUERETARO PREMIUM OUTLETS,19,6,16,3,37.50,33.33,6,100.00,2026-05-15
2018 CC EXPLANADA CULIACAN,19,3,4,15,75.00,83.33,3,100.00,2026-05-15
2021 CC CDMX PORTAL CENTRO,21,7,12,9,58.33,56.25,6,85.71,2026-05-15
2022 CC LEON NUEVO MULZA,14,6,11,3,54.55,33.33,5,83.33,2026-05-15
2023 CC OUTLET RIVIERA MAYA,11,0,10,1,0.00,100.00,0,0.00,2026-05-15
2024 CC OUTLET LEON,9,0,9,0,0.00,0.00,0,0.00,2026-05-15
2050 TC GUADALAJARA MFS VALLARTA,12,3,8,4,37.50,57.14,3,100.00,2026-05-15
