Tienda,Orders,Registrados,Tickets Válidos,Recompras,Conversion (%),Tasa Recompras (%),Verificados,% Verificados,FechaBase
1001 AP GUADALAJARA,17,10,16,1,62.50,9.09,6,60.00,2026-05-30
1002 AP PUERTO VALLARTA LOCAL,7,3,5,2,60.00,40.00,0,0.00,2026-05-30
1004 AP MERIDA,6,1,4,2,25.00,66.67,1,100.00,2026-05-30
1010 AP CDMX BJ T2,14,0,11,3,0.00,100.00,0,0.00,2026-05-30
1015 CC GUADALAJARA PLAZA ANDARES,12,4,8,4,50.00,50.00,2,50.00,2026-05-30
1017 CC MORELIA AMERICAS,21,12,14,7,85.71,36.84,10,83.33,2026-05-30
1018 CC MERIDA ALTABRISA,13,6,6,7,100.00,53.85,5,83.33,2026-05-30
1020 AP GUADALAJARA ISLA,16,5,15,1,33.33,16.67,2,40.00,2026-05-30
1021 CC PUEBLA ANGELOPOLIS,12,7,9,3,77.78,30.00,7,100.00,2026-05-30
1023 CC SAN LUIS POTOSÍ,16,6,7,9,85.71,60.00,2,33.33,2026-05-30
1024 CC VILLAHERMOSA ALTABRISA,18,13,14,4,92.86,23.53,13,100.00,2026-05-30
1025 CC MERIDA GALERIAS,22,11,14,8,78.57,42.11,11,100.00,2026-05-30
1026 AP VILLAHERMOSA,5,3,3,2,100.00,40.00,3,100.00,2026-05-30
1030 AP CULIACÁN,13,5,9,4,55.56,44.44,3,60.00,2026-05-30
1031 CC CDMX FORUM BUENAVISTA,28,18,20,8,90.00,30.77,14,77.78,2026-05-30
1032 CC CAMPECHE GALERIAS,21,9,9,12,100.00,57.14,8,88.89,2026-05-30
1034 CC QUERETARO PLAZA ANTEA,12,3,9,3,33.33,50.00,3,100.00,2026-05-30
1036 CC CULIACÁN PLAZA FORUM,11,7,8,3,87.50,30.00,7,100.00,2026-05-30
1037 AP CANCÚN SALA AIRE,15,0,15,0,0.00,0.00,0,0.00,2026-05-30
1038 AP LOS CABOS,16,3,14,2,21.43,40.00,1,33.33,2026-05-30
1042 CC GUADALAJARA GALERIAS,8,4,5,3,80.00,42.86,1,25.00,2026-05-30
1044 CC MERIDA LA ISLA,10,4,4,6,100.00,60.00,4,100.00,2026-05-30
1045 CC TUXTLA FASHION MALL,9,4,4,5,100.00,55.56,4,100.00,2026-05-30
1046 CC CABOS PUERTO PARAISO,38,19,21,17,90.48,47.22,19,100.00,2026-05-30
1047 CC GUADALAJARA PLAZA PATRIA,13,8,9,4,88.89,33.33,7,87.50,2026-05-30
1048 AP DEL BAJIO,2,1,2,0,50.00,0.00,1,100.00,2026-05-30
1049 CC GUADALAJARA LA PERLA,6,3,3,3,100.00,50.00,3,100.00,2026-05-30
1052 CC CDMX LAS ANTENAS,13,5,8,5,62.50,50.00,5,100.00,2026-05-30
1053 CC VERACRUZ ANDAMAR,13,6,12,1,50.00,14.29,6,100.00,2026-05-30
1054 CC CDMX PARQUE LINDAVISTA,10,7,7,3,100.00,30.00,6,85.71,2026-05-30
1055 CC CDMX PARQUE VIA VALLEJO,16,5,10,6,50.00,54.55,5,100.00,2026-05-30
1058 AP TIJUANA AMBULATORIO,4,2,4,0,50.00,0.00,1,50.00,2026-05-30
1064 CC CDMX SATÉLITE,14,7,10,4,70.00,36.36,7,100.00,2026-05-30
1065 CC CDMX PARQUE TEPEYAC,22,12,12,10,100.00,45.45,12,100.00,2026-05-30
1066 CC CANCUN AMERICAS,19,6,8,11,75.00,64.71,6,100.00,2026-05-30
1067 AP AERO DF AMBULATORIO T1,11,3,9,2,33.33,40.00,3,100.00,2026-05-30
1068 AP AERO MERIDA AMBULATORIO,3,3,3,0,100.00,0.00,3,100.00,2026-05-30
1069 AP TIJUANA ISLA,9,6,9,0,66.67,0.00,4,66.67,2026-05-30
2001 TC GUADALAJARA CAÑADAS,17,9,13,4,69.23,30.77,7,77.78,2026-05-30
2008 CC CDMX PUNTA NORTE,30,0,26,4,0.00,100.00,0,0.00,2026-05-30
2009 CC CANCÚN PASEOS,30,13,15,15,86.67,53.57,13,100.00,2026-05-30
2011 TC GUADALAJARA TESISTÁN,13,5,8,5,62.50,50.00,4,80.00,2026-05-30
2012 CC LERMA PLAZAS OUTLET,46,9,42,4,21.43,30.77,9,100.00,2026-05-30
2014 CC CUERNAVACA FORUM,28,10,16,12,62.50,54.55,9,90.00,2026-05-30
2015 EXPLANADA PACHUCA,31,6,15,16,40.00,72.73,6,100.00,2026-05-30
2016 CC QUERETARO PREMIUM OUTLETS,41,0,37,4,0.00,100.00,0,0.00,2026-05-30
2018 CC EXPLANADA CULIACAN,21,16,17,4,94.12,20.00,14,87.50,2026-05-30
2021 CC CDMX PORTAL CENTRO,35,9,12,23,75.00,71.88,5,55.56,2026-05-30
2022 CC LEON NUEVO MULZA,34,17,28,6,60.71,26.09,17,100.00,2026-05-30
2023 CC OUTLET RIVIERA MAYA,21,4,17,4,23.53,50.00,4,100.00,2026-05-30
2024 CC OUTLET LEON,14,2,10,4,20.00,66.67,2,100.00,2026-05-30
2050 TC GUADALAJARA MFS VALLARTA,18,0,12,6,0.00,100.00,0,0.00,2026-05-30
