Tienda,Orders,Registrados,Tickets Válidos,Recompras,Conversion (%),Tasa Recompras (%),Verificados,% Verificados,FechaBase
1001 AP GUADALAJARA,13,10,12,1,83.33,9.09,6,60.00,2026-04-01
1002 AP PUERTO VALLARTA LOCAL,8,8,8,0,100.00,0.00,4,50.00,2026-04-01
1003 AP PUERTO VALLARTA ESCALA,4,3,4,0,75.00,0.00,1,33.33,2026-04-01
1004 AP MERIDA,6,5,6,0,83.33,0.00,5,100.00,2026-04-01
1010 AP CDMX BJ T2,10,4,10,0,40.00,0.00,4,100.00,2026-04-01
1015 CC GUADALAJARA PLAZA ANDARES,2,1,1,1,100.00,50.00,1,100.00,2026-04-01
1017 CC MORELIA AMERICAS,16,10,12,4,83.33,28.57,10,100.00,2026-04-01
1018 CC MERIDA ALTABRISA,7,4,4,3,100.00,42.86,4,100.00,2026-04-01
1020 AP GUADALAJARA ISLA,19,5,18,1,27.78,16.67,3,60.00,2026-04-01
1021 CC PUEBLA ANGELOPOLIS,8,5,5,3,100.00,37.50,4,80.00,2026-04-01
1023 CC SAN LUIS POTOSÍ,5,5,5,0,100.00,0.00,5,100.00,2026-04-01
1024 CC VILLAHERMOSA ALTABRISA,6,3,5,1,60.00,25.00,3,100.00,2026-04-01
1025 CC MERIDA GALERIAS,3,2,2,1,100.00,33.33,2,100.00,2026-04-01
1026 AP VILLAHERMOSA,5,3,3,2,100.00,40.00,3,100.00,2026-04-01
1030 AP CULIACÁN,3,2,3,0,66.67,0.00,1,50.00,2026-04-01
1031 CC CDMX FORUM BUENAVISTA,9,5,5,4,100.00,44.44,5,100.00,2026-04-01
1032 CC CAMPECHE GALERIAS,4,1,2,2,50.00,66.67,1,100.00,2026-04-01
1036 CC CULIACÁN PLAZA FORUM,5,3,3,2,100.00,40.00,3,100.00,2026-04-01
1037 AP CANCÚN SALA AIRE,9,0,9,0,0.00,0.00,0,0.00,2026-04-01
1038 AP LOS CABOS,5,1,5,0,20.00,0.00,1,100.00,2026-04-01
1042 CC GUADALAJARA GALERIAS,3,0,0,3,0.00,100.00,0,0.00,2026-04-01
1044 CC MERIDA LA ISLA,2,2,2,0,100.00,0.00,2,100.00,2026-04-01
1045 CC TUXTLA FASHION MALL,4,2,2,2,100.00,50.00,2,100.00,2026-04-01
1046 CC CABOS PUERTO PARAISO,15,10,11,4,90.91,28.57,10,100.00,2026-04-01
1047 CC GUADALAJARA PLAZA PATRIA,2,1,1,1,100.00,50.00,1,100.00,2026-04-01
1049 CC GUADALAJARA LA PERLA,2,1,2,0,50.00,0.00,0,0.00,2026-04-01
1052 CC CDMX LAS ANTENAS,5,4,4,1,100.00,20.00,2,50.00,2026-04-01
1053 CC VERACRUZ ANDAMAR,1,0,0,1,0.00,100.00,0,0.00,2026-04-01
1054 CC CDMX PARQUE LINDAVISTA,2,1,1,1,100.00,50.00,1,100.00,2026-04-01
1055 CC CDMX PARQUE VIA VALLEJO,3,2,2,1,100.00,33.33,2,100.00,2026-04-01
1058 AP TIJUANA AMBULATORIO,5,2,4,1,50.00,33.33,2,100.00,2026-04-01
1064 CC CDMX SATÉLITE,7,2,3,4,66.67,66.67,2,100.00,2026-04-01
1065 CC CDMX PARQUE TEPEYAC,5,2,5,0,40.00,0.00,2,100.00,2026-04-01
1066 CC CANCUN AMERICAS,3,2,2,1,100.00,33.33,2,100.00,2026-04-01
1067 AP AERO DF AMBULATORIO T1,3,1,3,0,33.33,0.00,1,100.00,2026-04-01
1068 AP AERO MERIDA AMBULATORIO,6,4,5,1,80.00,20.00,4,100.00,2026-04-01
1069 AP TIJUANA ISLA,3,2,3,0,66.67,0.00,1,50.00,2026-04-01
2001 TC GUADALAJARA CAÑADAS,12,7,10,2,70.00,22.22,7,100.00,2026-04-01
2004 CC LEON MULZA,17,9,16,1,56.25,10.00,9,100.00,2026-04-01
2008 CC CDMX PUNTA NORTE,13,0,11,2,0.00,100.00,0,0.00,2026-04-01
2009 CC CANCÚN PASEOS,34,14,22,12,63.64,46.15,14,100.00,2026-04-01
2011 TC GUADALAJARA TESISTÁN,8,6,6,2,100.00,25.00,5,83.33,2026-04-01
2012 CC LERMA PLAZAS OUTLET,16,6,12,4,50.00,40.00,6,100.00,2026-04-01
2014 CC CUERNAVACA FORUM,17,9,13,4,69.23,30.77,9,100.00,2026-04-01
2015 EXPLANADA PACHUCA,17,7,11,6,63.64,46.15,7,100.00,2026-04-01
2016 CC QUERETARO PREMIUM OUTLETS,16,8,12,4,66.67,33.33,8,100.00,2026-04-01
2018 CC EXPLANADA CULIACAN,11,5,8,3,62.50,37.50,4,80.00,2026-04-01
2021 CC CDMX PORTAL CENTRO,13,7,8,5,87.50,41.67,7,100.00,2026-04-01
2022 CC LEON NUEVO MULZA,23,7,21,2,33.33,22.22,7,100.00,2026-04-01
2023 CC OUTLET RIVIERA MAYA,20,9,16,4,56.25,30.77,9,100.00,2026-04-01
2024 CC OUTLET LEON,7,4,6,1,66.67,20.00,4,100.00,2026-04-01
2050 TC GUADALAJARA MFS VALLARTA,2,1,2,0,50.00,0.00,1,100.00,2026-04-01
