Tienda,Orders,Registrados,Tickets Válidos,Recompras,Conversion (%),Tasa Recompras (%),Verificados,% Verificados,FechaBase
1001 AP GUADALAJARA,15,8,13,2,61.54,20.00,6,75.00,2026-04-26
1002 AP PUERTO VALLARTA LOCAL,6,4,4,2,100.00,33.33,3,75.00,2026-04-26
1003 AP PUERTO VALLARTA ESCALA,7,6,7,0,85.71,0.00,5,83.33,2026-04-26
1004 AP MERIDA,6,4,5,1,80.00,20.00,2,50.00,2026-04-26
1010 AP CDMX BJ T2,18,6,17,1,35.29,14.29,5,83.33,2026-04-26
1015 CC GUADALAJARA PLAZA ANDARES,10,5,8,2,62.50,28.57,5,100.00,2026-04-26
1017 CC MORELIA AMERICAS,18,9,11,7,81.82,43.75,7,77.78,2026-04-26
1018 CC MERIDA ALTABRISA,9,3,3,6,100.00,66.67,3,100.00,2026-04-26
1020 AP GUADALAJARA ISLA,10,7,10,0,70.00,0.00,2,28.57,2026-04-26
1021 CC PUEBLA ANGELOPOLIS,17,10,12,5,83.33,33.33,9,90.00,2026-04-26
1023 CC SAN LUIS POTOSÍ,9,4,5,4,80.00,50.00,2,50.00,2026-04-26
1024 CC VILLAHERMOSA ALTABRISA,3,1,1,2,100.00,66.67,1,100.00,2026-04-26
1025 CC MERIDA GALERIAS,7,1,1,6,100.00,85.71,1,100.00,2026-04-26
1026 AP VILLAHERMOSA,3,1,1,2,100.00,66.67,1,100.00,2026-04-26
1030 AP CULIACÁN,5,1,2,3,50.00,75.00,1,100.00,2026-04-26
1031 CC CDMX FORUM BUENAVISTA,8,1,1,7,100.00,87.50,1,100.00,2026-04-26
1032 CC CAMPECHE GALERIAS,12,5,5,7,100.00,58.33,3,60.00,2026-04-26
1034 CC QUERETARO PLAZA ANTEA,4,2,3,1,66.67,33.33,2,100.00,2026-04-26
1036 CC CULIACÁN PLAZA FORUM,16,6,7,9,85.71,60.00,6,100.00,2026-04-26
1037 AP CANCÚN SALA AIRE,8,4,8,0,50.00,0.00,4,100.00,2026-04-26
1038 AP LOS CABOS,11,5,11,0,45.45,0.00,4,80.00,2026-04-26
1042 CC GUADALAJARA GALERIAS,6,4,4,2,100.00,33.33,0,0.00,2026-04-26
1044 CC MERIDA LA ISLA,7,1,1,6,100.00,85.71,1,100.00,2026-04-26
1045 CC TUXTLA FASHION MALL,7,1,1,6,100.00,85.71,1,100.00,2026-04-26
1046 CC CABOS PUERTO PARAISO,18,6,7,11,85.71,64.71,6,100.00,2026-04-26
1047 CC GUADALAJARA PLAZA PATRIA,3,1,1,2,100.00,66.67,1,100.00,2026-04-26
1048 AP DEL BAJIO,5,3,4,1,75.00,25.00,3,100.00,2026-04-26
1049 CC GUADALAJARA LA PERLA,3,2,2,1,100.00,33.33,2,100.00,2026-04-26
1052 CC CDMX LAS ANTENAS,7,3,3,4,100.00,57.14,1,33.33,2026-04-26
1053 CC VERACRUZ ANDAMAR,6,3,3,3,100.00,50.00,3,100.00,2026-04-26
1054 CC CDMX PARQUE LINDAVISTA,10,4,4,6,100.00,60.00,4,100.00,2026-04-26
1055 CC CDMX PARQUE VIA VALLEJO,5,2,2,3,100.00,60.00,2,100.00,2026-04-26
1058 AP TIJUANA AMBULATORIO,6,3,5,1,60.00,25.00,0,0.00,2026-04-26
1064 CC CDMX SATÉLITE,9,6,6,3,100.00,33.33,6,100.00,2026-04-26
1065 CC CDMX PARQUE TEPEYAC,12,7,7,5,100.00,41.67,5,71.43,2026-04-26
1066 CC CANCUN AMERICAS,12,2,4,8,50.00,80.00,2,100.00,2026-04-26
1067 AP AERO DF AMBULATORIO T1,10,0,10,0,0.00,0.00,0,0.00,2026-04-26
1068 AP AERO MERIDA AMBULATORIO,9,7,8,1,87.50,12.50,7,100.00,2026-04-26
1069 AP TIJUANA ISLA,4,2,3,1,66.67,33.33,2,100.00,2026-04-26
2001 TC GUADALAJARA CAÑADAS,8,4,4,4,100.00,50.00,3,75.00,2026-04-26
2004 CC LEON MULZA,17,7,11,6,63.64,46.15,7,100.00,2026-04-26
2008 CC CDMX PUNTA NORTE,36,1,28,8,3.57,88.89,1,100.00,2026-04-26
2009 CC CANCÚN PASEOS,27,10,13,14,76.92,58.33,10,100.00,2026-04-26
2012 CC LERMA PLAZAS OUTLET,46,3,40,6,7.50,66.67,3,100.00,2026-04-26
2014 CC CUERNAVACA FORUM,30,13,18,12,72.22,48.00,12,92.31,2026-04-26
2015 EXPLANADA PACHUCA,30,9,19,11,47.37,55.00,9,100.00,2026-04-26
2016 CC QUERETARO PREMIUM OUTLETS,41,20,32,9,62.50,31.03,19,95.00,2026-04-26
2018 CC EXPLANADA CULIACAN,29,18,22,7,81.82,28.00,15,83.33,2026-04-26
2021 CC CDMX PORTAL CENTRO,18,6,10,8,60.00,57.14,6,100.00,2026-04-26
2022 CC LEON NUEVO MULZA,16,7,11,5,63.64,41.67,7,100.00,2026-04-26
2023 CC OUTLET RIVIERA MAYA,34,2,27,7,7.41,77.78,2,100.00,2026-04-26
2024 CC OUTLET LEON,16,6,9,7,66.67,53.85,6,100.00,2026-04-26
2050 TC GUADALAJARA MFS VALLARTA,8,1,5,3,20.00,75.00,1,100.00,2026-04-26
