Tienda,Orders,Registrados,Tickets Válidos,Recompras,Conversion (%),Tasa Recompras (%),Verificados,% Verificados,FechaBase
1001 AP GUADALAJARA,10,5,6,4,83.33,44.44,1,20.00,2026-04-20
1002 AP PUERTO VALLARTA LOCAL,5,4,5,0,80.00,0.00,3,75.00,2026-04-20
1003 AP PUERTO VALLARTA ESCALA,3,3,3,0,100.00,0.00,2,66.67,2026-04-20
1004 AP MERIDA,1,0,1,0,0.00,0.00,0,0.00,2026-04-20
1010 AP CDMX BJ T2,16,3,13,3,23.08,50.00,3,100.00,2026-04-20
1015 CC GUADALAJARA PLAZA ANDARES,1,0,1,0,0.00,0.00,0,0.00,2026-04-20
1017 CC MORELIA AMERICAS,2,2,2,0,100.00,0.00,2,100.00,2026-04-20
1018 CC MERIDA ALTABRISA,5,1,1,4,100.00,80.00,1,100.00,2026-04-20
1020 AP GUADALAJARA ISLA,10,2,9,1,22.22,33.33,0,0.00,2026-04-20
1021 CC PUEBLA ANGELOPOLIS,4,0,1,3,0.00,100.00,0,0.00,2026-04-20
1024 CC VILLAHERMOSA ALTABRISA,3,2,2,1,100.00,33.33,2,100.00,2026-04-20
1025 CC MERIDA GALERIAS,4,2,2,2,100.00,50.00,2,100.00,2026-04-20
1026 AP VILLAHERMOSA,7,4,4,3,100.00,42.86,4,100.00,2026-04-20
1030 AP CULIACÁN,3,2,2,1,100.00,33.33,2,100.00,2026-04-20
1031 CC CDMX FORUM BUENAVISTA,5,3,3,2,100.00,40.00,3,100.00,2026-04-20
1032 CC CAMPECHE GALERIAS,1,0,0,1,0.00,100.00,0,0.00,2026-04-20
1034 CC QUERETARO PLAZA ANTEA,1,1,1,0,100.00,0.00,1,100.00,2026-04-20
1036 CC CULIACÁN PLAZA FORUM,7,3,3,4,100.00,57.14,3,100.00,2026-04-20
1037 AP CANCÚN SALA AIRE,17,4,14,3,28.57,42.86,3,75.00,2026-04-20
1038 AP LOS CABOS,12,5,12,0,41.67,0.00,4,80.00,2026-04-20
1042 CC GUADALAJARA GALERIAS,1,0,0,1,0.00,100.00,0,0.00,2026-04-20
1044 CC MERIDA LA ISLA,1,0,0,1,0.00,100.00,0,0.00,2026-04-20
1045 CC TUXTLA FASHION MALL,3,1,1,2,100.00,66.67,1,100.00,2026-04-20
1046 CC CABOS PUERTO PARAISO,12,5,7,5,71.43,50.00,5,100.00,2026-04-20
1047 CC GUADALAJARA PLAZA PATRIA,1,1,1,0,100.00,0.00,1,100.00,2026-04-20
1048 AP DEL BAJIO,8,8,8,0,100.00,0.00,8,100.00,2026-04-20
1049 CC GUADALAJARA LA PERLA,3,2,2,1,100.00,33.33,1,50.00,2026-04-20
1052 CC CDMX LAS ANTENAS,2,1,2,0,50.00,0.00,1,100.00,2026-04-20
1053 CC VERACRUZ ANDAMAR,5,3,4,1,75.00,25.00,3,100.00,2026-04-20
1054 CC CDMX PARQUE LINDAVISTA,4,0,0,4,0.00,100.00,0,0.00,2026-04-20
1055 CC CDMX PARQUE VIA VALLEJO,2,0,0,2,0.00,100.00,0,0.00,2026-04-20
1058 AP TIJUANA AMBULATORIO,4,2,3,1,66.67,33.33,1,50.00,2026-04-20
1064 CC CDMX SATÉLITE,1,1,1,0,100.00,0.00,1,100.00,2026-04-20
1065 CC CDMX PARQUE TEPEYAC,5,1,1,4,100.00,80.00,0,0.00,2026-04-20
1066 CC CANCUN AMERICAS,10,7,7,3,100.00,30.00,7,100.00,2026-04-20
1067 AP AERO DF AMBULATORIO T1,8,3,8,0,37.50,0.00,2,66.67,2026-04-20
1068 AP AERO MERIDA AMBULATORIO,5,1,2,3,50.00,75.00,1,100.00,2026-04-20
1069 AP TIJUANA ISLA,5,1,4,1,25.00,50.00,1,100.00,2026-04-20
2001 TC GUADALAJARA CAÑADAS,16,5,7,9,71.43,64.29,5,100.00,2026-04-20
2004 CC LEON MULZA,8,5,5,3,100.00,37.50,5,100.00,2026-04-20
2008 CC CDMX PUNTA NORTE,6,0,5,1,0.00,100.00,0,0.00,2026-04-20
2009 CC CANCÚN PASEOS,6,2,3,3,66.67,60.00,1,50.00,2026-04-20
2011 TC GUADALAJARA TESISTÁN,4,3,3,1,100.00,25.00,3,100.00,2026-04-20
2012 CC LERMA PLAZAS OUTLET,11,6,10,1,60.00,14.29,6,100.00,2026-04-20
2014 CC CUERNAVACA FORUM,5,2,2,3,100.00,60.00,2,100.00,2026-04-20
2015 EXPLANADA PACHUCA,10,2,5,5,40.00,71.43,2,100.00,2026-04-20
2016 CC QUERETARO PREMIUM OUTLETS,8,5,6,2,83.33,28.57,5,100.00,2026-04-20
2018 CC EXPLANADA CULIACAN,5,2,3,2,66.67,50.00,2,100.00,2026-04-20
2021 CC CDMX PORTAL CENTRO,6,3,3,3,100.00,50.00,3,100.00,2026-04-20
2022 CC LEON NUEVO MULZA,4,3,3,1,100.00,25.00,3,100.00,2026-04-20
2023 CC OUTLET RIVIERA MAYA,12,4,8,4,50.00,50.00,4,100.00,2026-04-20
2024 CC OUTLET LEON,2,0,0,2,0.00,100.00,0,0.00,2026-04-20
2050 TC GUADALAJARA MFS VALLARTA,10,8,9,1,88.89,11.11,7,87.50,2026-04-20
