Tienda,Orders,Registrados,Tickets Válidos,Recompras,Conversion (%),Tasa Recompras (%),Verificados,% Verificados,FechaBase
1001 AP GUADALAJARA,15,8,14,1,57.14,11.11,3,37.50,2026-05-18
1002 AP PUERTO VALLARTA LOCAL,6,3,6,0,50.00,0.00,3,100.00,2026-05-18
1003 AP PUERTO VALLARTA ESCALA,2,1,2,0,50.00,0.00,0,0.00,2026-05-18
1004 AP MERIDA,9,4,8,1,50.00,20.00,2,50.00,2026-05-18
1010 AP CDMX BJ T2,12,3,10,2,30.00,40.00,2,66.67,2026-05-18
1015 CC GUADALAJARA PLAZA ANDARES,3,0,1,2,0.00,100.00,0,0.00,2026-05-18
1017 CC MORELIA AMERICAS,8,5,5,3,100.00,37.50,5,100.00,2026-05-18
1018 CC MERIDA ALTABRISA,8,4,4,4,100.00,50.00,4,100.00,2026-05-18
1020 AP GUADALAJARA ISLA,4,1,4,0,25.00,0.00,1,100.00,2026-05-18
1021 CC PUEBLA ANGELOPOLIS,7,5,5,2,100.00,28.57,2,40.00,2026-05-18
1024 CC VILLAHERMOSA ALTABRISA,5,1,1,4,100.00,80.00,1,100.00,2026-05-18
1025 CC MERIDA GALERIAS,4,1,1,3,100.00,75.00,1,100.00,2026-05-18
1026 AP VILLAHERMOSA,4,2,2,2,100.00,50.00,1,50.00,2026-05-18
1030 AP CULIACÁN,10,2,5,5,40.00,71.43,1,50.00,2026-05-18
1031 CC CDMX FORUM BUENAVISTA,11,6,7,4,85.71,40.00,6,100.00,2026-05-18
1032 CC CAMPECHE GALERIAS,4,1,1,3,100.00,75.00,1,100.00,2026-05-18
1034 CC QUERETARO PLAZA ANTEA,2,0,2,0,0.00,0.00,0,0.00,2026-05-18
1036 CC CULIACÁN PLAZA FORUM,5,1,4,1,25.00,50.00,1,100.00,2026-05-18
1037 AP CANCÚN SALA AIRE,16,6,16,0,37.50,0.00,6,100.00,2026-05-18
1038 AP LOS CABOS,3,0,3,0,0.00,0.00,0,0.00,2026-05-18
1042 CC GUADALAJARA GALERIAS,5,3,4,1,75.00,25.00,0,0.00,2026-05-18
1044 CC MERIDA LA ISLA,6,3,4,2,75.00,40.00,2,66.67,2026-05-18
1045 CC TUXTLA FASHION MALL,6,4,4,2,100.00,33.33,4,100.00,2026-05-18
1046 CC CABOS PUERTO PARAISO,11,3,8,3,37.50,50.00,3,100.00,2026-05-18
1047 CC GUADALAJARA PLAZA PATRIA,4,3,4,0,75.00,0.00,3,100.00,2026-05-18
1048 AP DEL BAJIO,5,1,3,2,33.33,66.67,1,100.00,2026-05-18
1049 CC GUADALAJARA LA PERLA,4,0,0,4,0.00,100.00,0,0.00,2026-05-18
1052 CC CDMX LAS ANTENAS,4,1,2,2,50.00,66.67,1,100.00,2026-05-18
1053 CC VERACRUZ ANDAMAR,3,1,3,0,33.33,0.00,1,100.00,2026-05-18
1054 CC CDMX PARQUE LINDAVISTA,3,1,1,2,100.00,66.67,1,100.00,2026-05-18
1055 CC CDMX PARQUE VIA VALLEJO,5,3,4,1,75.00,25.00,3,100.00,2026-05-18
1058 AP TIJUANA AMBULATORIO,9,7,9,0,77.78,0.00,7,100.00,2026-05-18
1064 CC CDMX SATÉLITE,4,2,2,2,100.00,50.00,2,100.00,2026-05-18
1065 CC CDMX PARQUE TEPEYAC,2,1,1,1,100.00,50.00,1,100.00,2026-05-18
1066 CC CANCUN AMERICAS,5,2,2,3,100.00,60.00,2,100.00,2026-05-18
1067 AP AERO DF AMBULATORIO T1,1,0,1,0,0.00,0.00,0,0.00,2026-05-18
1068 AP AERO MERIDA AMBULATORIO,6,4,5,1,80.00,20.00,4,100.00,2026-05-18
1069 AP TIJUANA ISLA,9,2,6,3,33.33,60.00,1,50.00,2026-05-18
2001 TC GUADALAJARA CAÑADAS,6,2,3,3,66.67,60.00,2,100.00,2026-05-18
2008 CC CDMX PUNTA NORTE,6,0,5,1,0.00,100.00,0,0.00,2026-05-18
2009 CC CANCÚN PASEOS,9,4,6,3,66.67,42.86,4,100.00,2026-05-18
2011 TC GUADALAJARA TESISTÁN,4,1,2,2,50.00,66.67,1,100.00,2026-05-18
2012 CC LERMA PLAZAS OUTLET,7,1,7,0,14.29,0.00,1,100.00,2026-05-18
2014 CC CUERNAVACA FORUM,2,1,1,1,100.00,50.00,1,100.00,2026-05-18
2015 EXPLANADA PACHUCA,9,1,5,4,20.00,80.00,1,100.00,2026-05-18
2016 CC QUERETARO PREMIUM OUTLETS,7,5,6,1,83.33,16.67,5,100.00,2026-05-18
2018 CC EXPLANADA CULIACAN,3,1,1,2,100.00,66.67,1,100.00,2026-05-18
2021 CC CDMX PORTAL CENTRO,12,1,5,7,20.00,87.50,1,100.00,2026-05-18
2022 CC LEON NUEVO MULZA,6,1,6,0,16.67,0.00,1,100.00,2026-05-18
2023 CC OUTLET RIVIERA MAYA,14,2,14,0,14.29,0.00,2,100.00,2026-05-18
2024 CC OUTLET LEON,3,1,2,1,50.00,50.00,0,0.00,2026-05-18
2050 TC GUADALAJARA MFS VALLARTA,4,1,3,1,33.33,50.00,1,100.00,2026-05-18
