Tienda,Orders,Registrados,Tickets Válidos,Recompras,Conversion (%),Tasa Recompras (%),Verificados,% Verificados,FechaBase
1001 AP GUADALAJARA,16,9,13,3,69.23,25.00,6,66.67,2026-05-04
1002 AP PUERTO VALLARTA LOCAL,6,5,6,0,83.33,0.00,5,100.00,2026-05-04
1003 AP PUERTO VALLARTA ESCALA,6,3,5,1,60.00,25.00,3,100.00,2026-05-04
1004 AP MERIDA,4,2,4,0,50.00,0.00,2,100.00,2026-05-04
1010 AP CDMX BJ T2,11,2,10,1,20.00,33.33,2,100.00,2026-05-04
1015 CC GUADALAJARA PLAZA ANDARES,3,2,2,1,100.00,33.33,1,50.00,2026-05-04
1017 CC MORELIA AMERICAS,16,9,10,6,90.00,40.00,8,88.89,2026-05-04
1018 CC MERIDA ALTABRISA,9,2,2,7,100.00,77.78,1,50.00,2026-05-04
1020 AP GUADALAJARA ISLA,9,7,9,0,77.78,0.00,6,85.71,2026-05-04
1021 CC PUEBLA ANGELOPOLIS,6,3,4,2,75.00,40.00,3,100.00,2026-05-04
1023 CC SAN LUIS POTOSÍ,6,3,3,3,100.00,50.00,1,33.33,2026-05-04
1024 CC VILLAHERMOSA ALTABRISA,4,3,3,1,100.00,25.00,3,100.00,2026-05-04
1025 CC MERIDA GALERIAS,8,4,7,1,57.14,20.00,4,100.00,2026-05-04
1026 AP VILLAHERMOSA,4,3,3,1,100.00,25.00,3,100.00,2026-05-04
1030 AP CULIACÁN,1,1,1,0,100.00,0.00,0,0.00,2026-05-04
1031 CC CDMX FORUM BUENAVISTA,6,1,1,5,100.00,83.33,1,100.00,2026-05-04
1032 CC CAMPECHE GALERIAS,2,0,1,1,0.00,100.00,0,0.00,2026-05-04
1034 CC QUERETARO PLAZA ANTEA,4,2,3,1,66.67,33.33,2,100.00,2026-05-04
1036 CC CULIACÁN PLAZA FORUM,5,2,2,3,100.00,60.00,2,100.00,2026-05-04
1037 AP CANCÚN SALA AIRE,13,2,11,2,18.18,50.00,2,100.00,2026-05-04
1038 AP LOS CABOS,8,3,7,1,42.86,25.00,2,66.67,2026-05-04
1042 CC GUADALAJARA GALERIAS,1,0,0,1,0.00,100.00,0,0.00,2026-05-04
1044 CC MERIDA LA ISLA,5,3,4,1,75.00,25.00,3,100.00,2026-05-04
1045 CC TUXTLA FASHION MALL,7,3,3,4,100.00,57.14,3,100.00,2026-05-04
1046 CC CABOS PUERTO PARAISO,15,6,10,5,60.00,45.45,6,100.00,2026-05-04
1047 CC GUADALAJARA PLAZA PATRIA,4,3,3,1,100.00,25.00,3,100.00,2026-05-04
1048 AP DEL BAJIO,2,0,2,0,0.00,0.00,0,0.00,2026-05-04
1049 CC GUADALAJARA LA PERLA,5,2,3,2,66.67,50.00,2,100.00,2026-05-04
1052 CC CDMX LAS ANTENAS,7,4,4,3,100.00,42.86,4,100.00,2026-05-04
1053 CC VERACRUZ ANDAMAR,7,4,4,3,100.00,42.86,4,100.00,2026-05-04
1054 CC CDMX PARQUE LINDAVISTA,3,2,2,1,100.00,33.33,2,100.00,2026-05-04
1055 CC CDMX PARQUE VIA VALLEJO,2,2,2,0,100.00,0.00,2,100.00,2026-05-04
1058 AP TIJUANA AMBULATORIO,5,3,4,1,75.00,25.00,1,33.33,2026-05-04
1064 CC CDMX SATÉLITE,3,0,1,2,0.00,100.00,0,0.00,2026-05-04
1065 CC CDMX PARQUE TEPEYAC,3,3,3,0,100.00,0.00,3,100.00,2026-05-04
1066 CC CANCUN AMERICAS,6,4,4,2,100.00,33.33,4,100.00,2026-05-04
1067 AP AERO DF AMBULATORIO T1,2,1,2,0,50.00,0.00,1,100.00,2026-05-04
1068 AP AERO MERIDA AMBULATORIO,1,1,1,0,100.00,0.00,1,100.00,2026-05-04
1069 AP TIJUANA ISLA,9,5,8,1,62.50,16.67,2,40.00,2026-05-04
2001 TC GUADALAJARA CAÑADAS,22,9,14,8,64.29,47.06,8,88.89,2026-05-04
2008 CC CDMX PUNTA NORTE,15,3,11,4,27.27,57.14,3,100.00,2026-05-04
2009 CC CANCÚN PASEOS,22,10,14,8,71.43,44.44,10,100.00,2026-05-04
2011 TC GUADALAJARA TESISTÁN,7,3,3,4,100.00,57.14,3,100.00,2026-05-04
2012 CC LERMA PLAZAS OUTLET,30,8,22,8,36.36,50.00,8,100.00,2026-05-04
2014 CC CUERNAVACA FORUM,14,8,8,6,100.00,42.86,6,75.00,2026-05-04
2015 EXPLANADA PACHUCA,17,10,12,5,83.33,33.33,10,100.00,2026-05-04
2016 CC QUERETARO PREMIUM OUTLETS,14,4,13,1,30.77,20.00,4,100.00,2026-05-04
2018 CC EXPLANADA CULIACAN,18,6,7,11,85.71,64.71,5,83.33,2026-05-04
2021 CC CDMX PORTAL CENTRO,10,3,3,7,100.00,70.00,3,100.00,2026-05-04
2022 CC LEON NUEVO MULZA,22,5,12,10,41.67,66.67,5,100.00,2026-05-04
2023 CC OUTLET RIVIERA MAYA,21,2,18,3,11.11,60.00,1,50.00,2026-05-04
2024 CC OUTLET LEON,9,1,4,5,25.00,83.33,1,100.00,2026-05-04
2050 TC GUADALAJARA MFS VALLARTA,12,1,12,0,8.33,0.00,1,100.00,2026-05-04
