Tienda,Orders,Registrados,Tickets Válidos,Recompras,Conversion (%),Tasa Recompras (%),Verificados,% Verificados,FechaBase
1001 AP GUADALAJARA,27,16,23,4,69.57,20.00,6,37.50,2026-05-17
1002 AP PUERTO VALLARTA LOCAL,2,2,2,0,100.00,0.00,2,100.00,2026-05-17
1003 AP PUERTO VALLARTA ESCALA,2,1,1,1,100.00,50.00,0,0.00,2026-05-17
1004 AP MERIDA,5,1,4,1,25.00,50.00,1,100.00,2026-05-17
1010 AP CDMX BJ T2,18,8,15,3,53.33,27.27,7,87.50,2026-05-17
1015 CC GUADALAJARA PLAZA ANDARES,9,5,6,3,83.33,37.50,5,100.00,2026-05-17
1017 CC MORELIA AMERICAS,10,3,3,7,100.00,70.00,3,100.00,2026-05-17
1018 CC MERIDA ALTABRISA,6,3,3,3,100.00,50.00,2,66.67,2026-05-17
1020 AP GUADALAJARA ISLA,20,15,18,2,83.33,11.76,11,73.33,2026-05-17
1021 CC PUEBLA ANGELOPOLIS,17,10,14,3,71.43,23.08,8,80.00,2026-05-17
1023 CC SAN LUIS POTOSÍ,8,3,4,4,75.00,57.14,2,66.67,2026-05-17
1024 CC VILLAHERMOSA ALTABRISA,8,6,6,2,100.00,25.00,6,100.00,2026-05-17
1025 CC MERIDA GALERIAS,6,4,4,2,100.00,33.33,4,100.00,2026-05-17
1026 AP VILLAHERMOSA,6,4,4,2,100.00,33.33,4,100.00,2026-05-17
1030 AP CULIACÁN,12,7,8,4,87.50,36.36,4,57.14,2026-05-17
1031 CC CDMX FORUM BUENAVISTA,15,10,11,4,90.91,28.57,10,100.00,2026-05-17
1032 CC CAMPECHE GALERIAS,11,5,5,6,100.00,54.55,5,100.00,2026-05-17
1034 CC QUERETARO PLAZA ANTEA,6,4,4,2,100.00,33.33,4,100.00,2026-05-17
1036 CC CULIACÁN PLAZA FORUM,7,4,4,3,100.00,42.86,3,75.00,2026-05-17
1037 AP CANCÚN SALA AIRE,15,3,11,4,27.27,57.14,3,100.00,2026-05-17
1038 AP LOS CABOS,5,2,4,1,50.00,33.33,2,100.00,2026-05-17
1042 CC GUADALAJARA GALERIAS,7,6,6,1,100.00,14.29,0,0.00,2026-05-17
1044 CC MERIDA LA ISLA,6,3,3,3,100.00,50.00,3,100.00,2026-05-17
1045 CC TUXTLA FASHION MALL,7,5,5,2,100.00,28.57,5,100.00,2026-05-17
1046 CC CABOS PUERTO PARAISO,27,4,11,16,36.36,80.00,4,100.00,2026-05-17
1047 CC GUADALAJARA PLAZA PATRIA,10,7,7,3,100.00,30.00,7,100.00,2026-05-17
1048 AP DEL BAJIO,4,1,2,2,50.00,66.67,1,100.00,2026-05-17
1049 CC GUADALAJARA LA PERLA,8,4,5,3,80.00,42.86,4,100.00,2026-05-17
1052 CC CDMX LAS ANTENAS,20,6,10,10,60.00,62.50,6,100.00,2026-05-17
1053 CC VERACRUZ ANDAMAR,16,10,13,3,76.92,23.08,10,100.00,2026-05-17
1054 CC CDMX PARQUE LINDAVISTA,7,3,5,2,60.00,40.00,3,100.00,2026-05-17
1055 CC CDMX PARQUE VIA VALLEJO,11,7,8,3,87.50,30.00,7,100.00,2026-05-17
1058 AP TIJUANA AMBULATORIO,7,3,6,1,50.00,25.00,2,66.67,2026-05-17
1064 CC CDMX SATÉLITE,16,8,9,7,88.89,46.67,7,87.50,2026-05-17
1065 CC CDMX PARQUE TEPEYAC,15,6,7,8,85.71,57.14,6,100.00,2026-05-17
1066 CC CANCUN AMERICAS,18,8,11,7,72.73,46.67,8,100.00,2026-05-17
1067 AP AERO DF AMBULATORIO T1,10,0,9,1,0.00,100.00,0,0.00,2026-05-17
1068 AP AERO MERIDA AMBULATORIO,7,5,5,2,100.00,28.57,4,80.00,2026-05-17
1069 AP TIJUANA ISLA,4,1,3,1,33.33,50.00,0,0.00,2026-05-17
2001 TC GUADALAJARA CAÑADAS,18,3,9,9,33.33,75.00,3,100.00,2026-05-17
2008 CC CDMX PUNTA NORTE,31,2,24,7,8.33,77.78,2,100.00,2026-05-17
2009 CC CANCÚN PASEOS,29,15,20,9,75.00,37.50,14,93.33,2026-05-17
2012 CC LERMA PLAZAS OUTLET,34,7,23,11,30.43,61.11,7,100.00,2026-05-17
2014 CC CUERNAVACA FORUM,28,15,18,10,83.33,40.00,15,100.00,2026-05-17
2015 EXPLANADA PACHUCA,30,11,23,7,47.83,38.89,11,100.00,2026-05-17
2016 CC QUERETARO PREMIUM OUTLETS,15,6,13,2,46.15,25.00,6,100.00,2026-05-17
2018 CC EXPLANADA CULIACAN,19,6,8,11,75.00,64.71,5,83.33,2026-05-17
2021 CC CDMX PORTAL CENTRO,19,10,12,7,83.33,41.18,10,100.00,2026-05-17
2022 CC LEON NUEVO MULZA,19,5,13,6,38.46,54.55,5,100.00,2026-05-17
2023 CC OUTLET RIVIERA MAYA,23,3,21,2,14.29,40.00,3,100.00,2026-05-17
2024 CC OUTLET LEON,20,2,16,4,12.50,66.67,2,100.00,2026-05-17
2050 TC GUADALAJARA MFS VALLARTA,7,5,7,0,71.43,0.00,5,100.00,2026-05-17
