Tienda,Orders,Registrados,Tickets Válidos,Recompras,Conversion (%),Tasa Recompras (%),Verificados,% Verificados,FechaBase
1001 AP GUADALAJARA,15,10,11,4,90.91,28.57,4,40.00,2026-02-17
1002 AP PUERTO VALLARTA LOCAL,6,5,5,1,100.00,16.67,1,20.00,2026-02-17
1003 AP PUERTO VALLARTA ESCALA,4,3,3,1,100.00,25.00,2,66.67,2026-02-17
1004 AP MERIDA,6,4,4,2,100.00,33.33,3,75.00,2026-02-17
1010 AP CDMX BJ T2,10,2,9,1,22.22,33.33,2,100.00,2026-02-17
1015 CC GUADALAJARA PLAZA ANDARES,2,1,1,1,100.00,50.00,0,0.00,2026-02-17
1017 CC MORELIA AMERICAS,6,1,4,2,25.00,66.67,1,100.00,2026-02-17
1018 CC MERIDA ALTABRISA,8,1,1,7,100.00,87.50,1,100.00,2026-02-17
1020 AP GUADALAJARA ISLA,12,5,12,0,41.67,0.00,1,20.00,2026-02-17
1021 CC PUEBLA ANGELOPOLIS,2,1,2,0,50.00,0.00,1,100.00,2026-02-17
1023 CC SAN LUIS POTOSÍ,1,0,0,1,0.00,100.00,0,0.00,2026-02-17
1024 CC VILLAHERMOSA ALTABRISA,3,1,1,2,100.00,66.67,1,100.00,2026-02-17
1025 CC MERIDA GALERIAS,5,2,2,3,100.00,60.00,2,100.00,2026-02-17
1026 AP VILLAHERMOSA,7,6,6,1,100.00,14.29,6,100.00,2026-02-17
1030 AP CULIACÁN,2,1,1,1,100.00,50.00,1,100.00,2026-02-17
1031 CC CDMX FORUM BUENAVISTA,7,4,4,3,100.00,42.86,3,75.00,2026-02-17
1032 CC CAMPECHE GALERIAS,5,4,5,0,80.00,0.00,4,100.00,2026-02-17
1034 CC QUERETARO PLAZA ANTEA,2,1,1,1,100.00,50.00,1,100.00,2026-02-17
1036 CC CULIACÁN PLAZA FORUM,1,1,1,0,100.00,0.00,1,100.00,2026-02-17
1037 AP CANCÚN SALA AIRE,13,0,13,0,0.00,0.00,0,0.00,2026-02-17
1038 AP LOS CABOS,7,0,7,0,0.00,0.00,0,0.00,2026-02-17
1042 CC GUADALAJARA GALERIAS,2,2,2,0,100.00,0.00,1,50.00,2026-02-17
1044 CC MERIDA LA ISLA,7,5,6,1,83.33,16.67,5,100.00,2026-02-17
1045 CC TUXTLA FASHION MALL,3,0,0,3,0.00,100.00,0,0.00,2026-02-17
1046 CC CABOS PUERTO PARAISO,17,8,13,4,61.54,33.33,8,100.00,2026-02-17
1047 CC GUADALAJARA PLAZA PATRIA,3,0,2,1,0.00,100.00,0,0.00,2026-02-17
1048 AP DEL BAJIO,2,0,2,0,0.00,0.00,0,0.00,2026-02-17
1049 CC GUADALAJARA LA PERLA,3,1,2,1,50.00,50.00,1,100.00,2026-02-17
1052 CC CDMX LAS ANTENAS,6,6,6,0,100.00,0.00,4,66.67,2026-02-17
1053 CC VERACRUZ ANDAMAR,4,3,4,0,75.00,0.00,3,100.00,2026-02-17
1054 CC CDMX PARQUE LINDAVISTA,2,1,1,1,100.00,50.00,1,100.00,2026-02-17
1055 CC CDMX PARQUE VIA VALLEJO,2,1,1,1,100.00,50.00,1,100.00,2026-02-17
1058 AP TIJUANA AMBULATORIO,4,2,4,0,50.00,0.00,1,50.00,2026-02-17
1064 CC CDMX SATÉLITE,2,2,2,0,100.00,0.00,2,100.00,2026-02-17
1065 CC CDMX PARQUE TEPEYAC,4,2,3,1,66.67,33.33,1,50.00,2026-02-17
1066 CC CANCUN AMERICAS,5,1,1,4,100.00,80.00,1,100.00,2026-02-17
1068 AP AERO MERIDA AMBULATORIO,3,0,2,1,0.00,100.00,0,0.00,2026-02-17
1069 AP TIJUANA ISLA,3,0,2,1,0.00,100.00,0,0.00,2026-02-17
2001 TC GUADALAJARA CAÑADAS,10,4,5,5,80.00,55.56,4,100.00,2026-02-17
2004 CC LEON MULZA,4,3,4,0,75.00,0.00,3,100.00,2026-02-17
2008 CC CDMX PUNTA NORTE,9,5,6,3,83.33,37.50,5,100.00,2026-02-17
2009 CC CANCÚN PASEOS,21,3,14,7,21.43,70.00,3,100.00,2026-02-17
2011 TC GUADALAJARA TESISTÁN,6,4,5,1,80.00,20.00,4,100.00,2026-02-17
2012 CC LERMA PLAZAS OUTLET,8,4,6,2,66.67,33.33,4,100.00,2026-02-17
2014 CC CUERNAVACA FORUM,6,2,4,2,50.00,50.00,1,50.00,2026-02-17
2015 EXPLANADA PACHUCA,12,2,4,8,50.00,80.00,2,100.00,2026-02-17
2016 CC QUERETARO PREMIUM OUTLETS,3,1,3,0,33.33,0.00,1,100.00,2026-02-17
2018 CC EXPLANADA CULIACAN,6,3,4,2,75.00,40.00,3,100.00,2026-02-17
2021 CC CDMX PORTAL CENTRO,1,0,0,1,0.00,100.00,0,0.00,2026-02-17
2022 CC LEON NUEVO MULZA,1,0,1,0,0.00,0.00,0,0.00,2026-02-17
2023 CC OUTLET RIVIERA MAYA,12,3,8,4,37.50,57.14,3,100.00,2026-02-17
2024 CC OUTLET LEON,4,1,1,3,100.00,75.00,1,100.00,2026-02-17
2050 TC GUADALAJARA MFS VALLARTA,8,3,4,4,75.00,57.14,3,100.00,2026-02-17
