Tienda,Orders,Registrados,Tickets Válidos,Recompras,Conversion (%),Tasa Recompras (%),Verificados,% Verificados,FechaBase
1001 AP GUADALAJARA,11,7,7,4,100.00,36.36,6,85.71,2026-03-23
1002 AP PUERTO VALLARTA LOCAL,2,0,1,1,0.00,100.00,0,0.00,2026-03-23
1003 AP PUERTO VALLARTA ESCALA,4,1,4,0,25.00,0.00,0,0.00,2026-03-23
1004 AP MERIDA,3,1,3,0,33.33,0.00,1,100.00,2026-03-23
1010 AP CDMX BJ T2,7,0,3,4,0.00,100.00,0,0.00,2026-03-23
1015 CC GUADALAJARA PLAZA ANDARES,2,1,1,1,100.00,50.00,0,0.00,2026-03-23
1017 CC MORELIA AMERICAS,14,11,11,3,100.00,21.43,10,90.91,2026-03-23
1018 CC MERIDA ALTABRISA,7,3,3,4,100.00,57.14,3,100.00,2026-03-23
1020 AP GUADALAJARA ISLA,9,3,8,1,37.50,25.00,3,100.00,2026-03-23
1021 CC PUEBLA ANGELOPOLIS,4,3,3,1,100.00,25.00,2,66.67,2026-03-23
1023 CC SAN LUIS POTOSÍ,4,3,3,1,100.00,25.00,3,100.00,2026-03-23
1024 CC VILLAHERMOSA ALTABRISA,2,2,2,0,100.00,0.00,2,100.00,2026-03-23
1025 CC MERIDA GALERIAS,3,2,2,1,100.00,33.33,2,100.00,2026-03-23
1026 AP VILLAHERMOSA,1,1,1,0,100.00,0.00,1,100.00,2026-03-23
1030 AP CULIACÁN,8,4,4,4,100.00,50.00,2,50.00,2026-03-23
1031 CC CDMX FORUM BUENAVISTA,6,2,2,4,100.00,66.67,2,100.00,2026-03-23
1032 CC CAMPECHE GALERIAS,1,1,1,0,100.00,0.00,1,100.00,2026-03-23
1034 CC QUERETARO PLAZA ANTEA,1,1,1,0,100.00,0.00,1,100.00,2026-03-23
1036 CC CULIACÁN PLAZA FORUM,7,4,5,2,80.00,33.33,4,100.00,2026-03-23
1037 AP CANCÚN SALA AIRE,7,1,7,0,14.29,0.00,1,100.00,2026-03-23
1038 AP LOS CABOS,9,2,9,0,22.22,0.00,2,100.00,2026-03-23
1042 CC GUADALAJARA GALERIAS,3,2,2,1,100.00,33.33,1,50.00,2026-03-23
1044 CC MERIDA LA ISLA,2,0,0,2,0.00,100.00,0,0.00,2026-03-23
1045 CC TUXTLA FASHION MALL,6,3,4,2,75.00,40.00,2,66.67,2026-03-23
1046 CC CABOS PUERTO PARAISO,5,2,3,2,66.67,50.00,2,100.00,2026-03-23
1048 AP DEL BAJIO,3,0,0,3,0.00,100.00,0,0.00,2026-03-23
1049 CC GUADALAJARA LA PERLA,1,0,1,0,0.00,0.00,0,0.00,2026-03-23
1052 CC CDMX LAS ANTENAS,4,1,4,0,25.00,0.00,0,0.00,2026-03-23
1053 CC VERACRUZ ANDAMAR,3,3,3,0,100.00,0.00,3,100.00,2026-03-23
1054 CC CDMX PARQUE LINDAVISTA,3,1,1,2,100.00,66.67,1,100.00,2026-03-23
1055 CC CDMX PARQUE VIA VALLEJO,4,2,3,1,66.67,33.33,2,100.00,2026-03-23
1058 AP TIJUANA AMBULATORIO,6,5,6,0,83.33,0.00,5,100.00,2026-03-23
1064 CC CDMX SATÉLITE,1,1,1,0,100.00,0.00,1,100.00,2026-03-23
1065 CC CDMX PARQUE TEPEYAC,4,3,3,1,100.00,25.00,2,66.67,2026-03-23
1066 CC CANCUN AMERICAS,1,1,1,0,100.00,0.00,1,100.00,2026-03-23
1067 AP AERO DF AMBULATORIO T1,5,1,3,2,33.33,66.67,1,100.00,2026-03-23
1068 AP AERO MERIDA AMBULATORIO,4,1,2,2,50.00,66.67,1,100.00,2026-03-23
1069 AP TIJUANA ISLA,10,6,7,3,85.71,33.33,4,66.67,2026-03-23
2001 TC GUADALAJARA CAÑADAS,10,1,4,6,25.00,85.71,1,100.00,2026-03-23
2004 CC LEON MULZA,3,1,2,1,50.00,50.00,1,100.00,2026-03-23
2008 CC CDMX PUNTA NORTE,6,2,3,3,66.67,60.00,1,50.00,2026-03-23
2009 CC CANCÚN PASEOS,14,9,9,5,100.00,35.71,9,100.00,2026-03-23
2011 TC GUADALAJARA TESISTÁN,4,2,3,1,66.67,33.33,2,100.00,2026-03-23
2012 CC LERMA PLAZAS OUTLET,10,4,5,5,80.00,55.56,3,75.00,2026-03-23
2014 CC CUERNAVACA FORUM,6,1,3,3,33.33,75.00,1,100.00,2026-03-23
2015 EXPLANADA PACHUCA,7,3,5,2,60.00,40.00,3,100.00,2026-03-23
2016 CC QUERETARO PREMIUM OUTLETS,8,2,5,3,40.00,60.00,2,100.00,2026-03-23
2018 CC EXPLANADA CULIACAN,3,0,0,3,0.00,100.00,0,0.00,2026-03-23
2021 CC CDMX PORTAL CENTRO,7,4,4,3,100.00,42.86,4,100.00,2026-03-23
2022 CC LEON NUEVO MULZA,7,1,6,1,16.67,50.00,1,100.00,2026-03-23
2023 CC OUTLET RIVIERA MAYA,8,0,7,1,0.00,100.00,0,0.00,2026-03-23
2024 CC OUTLET LEON,6,1,6,0,16.67,0.00,1,100.00,2026-03-23
2050 TC GUADALAJARA MFS VALLARTA,8,1,6,2,16.67,66.67,1,100.00,2026-03-23
