Tienda,Orders,Registrados,Tickets Válidos,Recompras,Conversion (%),Tasa Recompras (%),Verificados,% Verificados,FechaBase
1001 AP GUADALAJARA,26,17,20,6,85.00,26.09,6,35.29,2026-05-09
1002 AP PUERTO VALLARTA LOCAL,10,6,7,3,85.71,33.33,3,50.00,2026-05-09
1003 AP PUERTO VALLARTA ESCALA,3,1,1,2,100.00,66.67,0,0.00,2026-05-09
1004 AP MERIDA,13,4,12,1,33.33,20.00,3,75.00,2026-05-09
1010 AP CDMX BJ T2,19,8,17,2,47.06,20.00,7,87.50,2026-05-09
1015 CC GUADALAJARA PLAZA ANDARES,17,10,13,4,76.92,28.57,6,60.00,2026-05-09
1017 CC MORELIA AMERICAS,71,52,54,17,96.30,24.64,50,96.15,2026-05-09
1018 CC MERIDA ALTABRISA,55,28,28,27,100.00,49.09,28,100.00,2026-05-09
1020 AP GUADALAJARA ISLA,10,4,9,1,44.44,20.00,2,50.00,2026-05-09
1021 CC PUEBLA ANGELOPOLIS,36,21,21,15,100.00,41.67,19,90.48,2026-05-09
1023 CC SAN LUIS POTOSÍ,29,21,21,8,100.00,27.59,9,42.86,2026-05-09
1024 CC VILLAHERMOSA ALTABRISA,15,10,11,4,90.91,28.57,10,100.00,2026-05-09
1025 CC MERIDA GALERIAS,42,22,30,12,73.33,35.29,22,100.00,2026-05-09
1026 AP VILLAHERMOSA,6,3,3,3,100.00,50.00,3,100.00,2026-05-09
1030 AP CULIACÁN,9,4,5,4,80.00,50.00,3,75.00,2026-05-09
1031 CC CDMX FORUM BUENAVISTA,46,30,33,13,90.91,30.23,28,93.33,2026-05-09
1032 CC CAMPECHE GALERIAS,33,17,17,16,100.00,48.48,13,76.47,2026-05-09
1034 CC QUERETARO PLAZA ANTEA,12,7,12,0,58.33,0.00,7,100.00,2026-05-09
1036 CC CULIACÁN PLAZA FORUM,58,26,38,20,68.42,43.48,26,100.00,2026-05-09
1037 AP CANCÚN SALA AIRE,20,2,15,5,13.33,71.43,2,100.00,2026-05-09
1038 AP LOS CABOS,11,2,9,2,22.22,50.00,2,100.00,2026-05-09
1042 CC GUADALAJARA GALERIAS,14,8,8,6,100.00,42.86,5,62.50,2026-05-09
1044 CC MERIDA LA ISLA,22,11,11,11,100.00,50.00,11,100.00,2026-05-09
1045 CC TUXTLA FASHION MALL,23,12,13,10,92.31,45.45,8,66.67,2026-05-09
1046 CC CABOS PUERTO PARAISO,137,50,73,64,68.49,56.14,48,96.00,2026-05-09
1047 CC GUADALAJARA PLAZA PATRIA,16,11,11,5,100.00,31.25,11,100.00,2026-05-09
1048 AP DEL BAJIO,6,2,4,2,50.00,50.00,2,100.00,2026-05-09
1049 CC GUADALAJARA LA PERLA,27,17,21,6,80.95,26.09,12,70.59,2026-05-09
1052 CC CDMX LAS ANTENAS,39,12,24,15,50.00,55.56,11,91.67,2026-05-09
1053 CC VERACRUZ ANDAMAR,32,15,28,4,53.57,21.05,15,100.00,2026-05-09
1054 CC CDMX PARQUE LINDAVISTA,29,11,14,15,78.57,57.69,9,81.82,2026-05-09
1055 CC CDMX PARQUE VIA VALLEJO,23,15,17,6,88.24,28.57,15,100.00,2026-05-09
1058 AP TIJUANA AMBULATORIO,7,4,6,1,66.67,20.00,1,25.00,2026-05-09
1064 CC CDMX SATÉLITE,26,11,13,13,84.62,54.17,11,100.00,2026-05-09
1065 CC CDMX PARQUE TEPEYAC,27,14,15,12,93.33,46.15,12,85.71,2026-05-09
1066 CC CANCUN AMERICAS,31,16,22,9,72.73,36.00,15,93.75,2026-05-09
1067 AP AERO DF AMBULATORIO T1,20,1,17,3,5.88,75.00,0,0.00,2026-05-09
1068 AP AERO MERIDA AMBULATORIO,12,4,7,5,57.14,55.56,4,100.00,2026-05-09
1069 AP TIJUANA ISLA,3,0,0,3,0.00,100.00,0,0.00,2026-05-09
2001 TC GUADALAJARA CAÑADAS,53,25,33,20,75.76,44.44,25,100.00,2026-05-09
2008 CC CDMX PUNTA NORTE,67,3,60,7,5.00,70.00,3,100.00,2026-05-09
2009 CC CANCÚN PASEOS,85,34,48,37,70.83,52.11,31,91.18,2026-05-09
2011 TC GUADALAJARA TESISTÁN,27,10,11,16,90.91,61.54,8,80.00,2026-05-09
2012 CC LERMA PLAZAS OUTLET,70,23,58,12,39.66,34.29,23,100.00,2026-05-09
2014 CC CUERNAVACA FORUM,70,23,49,21,46.94,47.73,20,86.96,2026-05-09
2015 EXPLANADA PACHUCA,65,22,47,18,46.81,45.00,22,100.00,2026-05-09
2016 CC QUERETARO PREMIUM OUTLETS,51,23,38,13,60.53,36.11,23,100.00,2026-05-09
2018 CC EXPLANADA CULIACAN,69,30,39,30,76.92,50.00,28,93.33,2026-05-09
2021 CC CDMX PORTAL CENTRO,44,20,27,17,74.07,45.95,20,100.00,2026-05-09
2022 CC LEON NUEVO MULZA,47,26,40,7,65.00,21.21,26,100.00,2026-05-09
2023 CC OUTLET RIVIERA MAYA,35,9,28,7,32.14,43.75,8,88.89,2026-05-09
2024 CC OUTLET LEON,50,8,36,14,22.22,63.64,8,100.00,2026-05-09
2050 TC GUADALAJARA MFS VALLARTA,25,11,20,5,55.00,31.25,11,100.00,2026-05-09
