Tienda,Orders,Registrados,Tickets Válidos,Recompras,Conversion (%),Tasa Recompras (%),Verificados,% Verificados,FechaBase
1001 AP GUADALAJARA,23,12,18,5,66.67,29.41,6,50.00,2026-05-24
1002 AP PUERTO VALLARTA LOCAL,7,5,5,2,100.00,28.57,4,80.00,2026-05-24
1003 AP PUERTO VALLARTA ESCALA,7,4,7,0,57.14,0.00,3,75.00,2026-05-24
1004 AP MERIDA,13,5,11,2,45.45,28.57,4,80.00,2026-05-24
1010 AP CDMX BJ T2,27,5,20,7,25.00,58.33,5,100.00,2026-05-24
1015 CC GUADALAJARA PLAZA ANDARES,13,7,12,1,58.33,12.50,6,85.71,2026-05-24
1017 CC MORELIA AMERICAS,18,9,11,7,81.82,43.75,9,100.00,2026-05-24
1018 CC MERIDA ALTABRISA,10,3,3,7,100.00,70.00,3,100.00,2026-05-24
1020 AP GUADALAJARA ISLA,22,7,22,0,31.82,0.00,4,57.14,2026-05-24
1021 CC PUEBLA ANGELOPOLIS,10,8,9,1,88.89,11.11,7,87.50,2026-05-24
1023 CC SAN LUIS POTOSÍ,8,4,4,4,100.00,50.00,3,75.00,2026-05-24
1024 CC VILLAHERMOSA ALTABRISA,12,7,10,2,70.00,22.22,7,100.00,2026-05-24
1025 CC MERIDA GALERIAS,18,7,13,5,53.85,41.67,7,100.00,2026-05-24
1026 AP VILLAHERMOSA,4,3,3,1,100.00,25.00,3,100.00,2026-05-24
1030 AP CULIACÁN,4,0,3,1,0.00,100.00,0,0.00,2026-05-24
1031 CC CDMX FORUM BUENAVISTA,15,8,9,6,88.89,42.86,8,100.00,2026-05-24
1032 CC CAMPECHE GALERIAS,10,3,4,6,75.00,66.67,3,100.00,2026-05-24
1034 CC QUERETARO PLAZA ANTEA,8,6,6,2,100.00,25.00,6,100.00,2026-05-24
1036 CC CULIACÁN PLAZA FORUM,15,6,9,6,66.67,50.00,6,100.00,2026-05-24
1037 AP CANCÚN SALA AIRE,32,2,31,1,6.45,33.33,2,100.00,2026-05-24
1038 AP LOS CABOS,21,7,19,2,36.84,22.22,7,100.00,2026-05-24
1042 CC GUADALAJARA GALERIAS,6,2,2,4,100.00,66.67,0,0.00,2026-05-24
1044 CC MERIDA LA ISLA,5,1,2,3,50.00,75.00,1,100.00,2026-05-24
1045 CC TUXTLA FASHION MALL,10,2,2,8,100.00,80.00,2,100.00,2026-05-24
1046 CC CABOS PUERTO PARAISO,23,9,10,13,90.00,59.09,9,100.00,2026-05-24
1047 CC GUADALAJARA PLAZA PATRIA,9,3,4,5,75.00,62.50,3,100.00,2026-05-24
1048 AP DEL BAJIO,7,3,7,0,42.86,0.00,2,66.67,2026-05-24
1049 CC GUADALAJARA LA PERLA,7,5,5,2,100.00,28.57,4,80.00,2026-05-24
1052 CC CDMX LAS ANTENAS,15,2,13,2,15.38,50.00,1,50.00,2026-05-24
1053 CC VERACRUZ ANDAMAR,9,1,4,5,25.00,83.33,1,100.00,2026-05-24
1054 CC CDMX PARQUE LINDAVISTA,9,6,8,1,75.00,14.29,5,83.33,2026-05-24
1055 CC CDMX PARQUE VIA VALLEJO,14,11,11,3,100.00,21.43,11,100.00,2026-05-24
1058 AP TIJUANA AMBULATORIO,7,3,6,1,50.00,25.00,3,100.00,2026-05-24
1064 CC CDMX SATÉLITE,10,6,6,4,100.00,40.00,6,100.00,2026-05-24
1065 CC CDMX PARQUE TEPEYAC,12,9,9,3,100.00,25.00,8,88.89,2026-05-24
1066 CC CANCUN AMERICAS,12,7,9,3,77.78,30.00,7,100.00,2026-05-24
1067 AP AERO DF AMBULATORIO T1,4,0,3,1,0.00,100.00,0,0.00,2026-05-24
1068 AP AERO MERIDA AMBULATORIO,8,6,7,1,85.71,14.29,5,83.33,2026-05-24
1069 AP TIJUANA ISLA,10,2,9,1,22.22,33.33,1,50.00,2026-05-24
2001 TC GUADALAJARA CAÑADAS,3,2,2,1,100.00,33.33,2,100.00,2026-05-24
2008 CC CDMX PUNTA NORTE,28,0,26,2,0.00,100.00,0,0.00,2026-05-24
2009 CC CANCÚN PASEOS,28,5,10,18,50.00,78.26,5,100.00,2026-05-24
2012 CC LERMA PLAZAS OUTLET,26,3,23,3,13.04,50.00,3,100.00,2026-05-24
2014 CC CUERNAVACA FORUM,26,8,14,12,57.14,60.00,7,87.50,2026-05-24
2015 EXPLANADA PACHUCA,18,2,9,9,22.22,81.82,2,100.00,2026-05-24
2016 CC QUERETARO PREMIUM OUTLETS,30,4,21,9,19.05,69.23,3,75.00,2026-05-24
2018 CC EXPLANADA CULIACAN,18,7,11,7,63.64,50.00,7,100.00,2026-05-24
2021 CC CDMX PORTAL CENTRO,18,7,9,9,77.78,56.25,7,100.00,2026-05-24
2022 CC LEON NUEVO MULZA,29,12,19,10,63.16,45.45,12,100.00,2026-05-24
2023 CC OUTLET RIVIERA MAYA,34,4,27,7,14.81,63.64,3,75.00,2026-05-24
2024 CC OUTLET LEON,19,4,15,4,26.67,50.00,3,75.00,2026-05-24
2050 TC GUADALAJARA MFS VALLARTA,9,6,7,2,85.71,25.00,5,83.33,2026-05-24
